##Data Table S3. List of differentially expressed genes and which cell type(s) they are differentially expressed in.,,,,,,,,,,,,,,,,,,,,,,,
,B-Asian,B-European,NK-Asian,NK-European,PB-Asian,PB-European,Progen-Asian,Progen-European,Prolif-Asian,Prolif-European,T4-Asian,T4-European,T8-Asian,T8-European,cDC-Asian,cDC-European,cM-Asian,cM-European,ncM-Asian,ncM-European,pDC-Asian,pDC-European,Module
SAMD9,0.546698518,0.462497413,,0.327735741,,,,,,,0.425198051,0.372551782,0.268039331,0.405994204,,,0.895481435,1.130179209,,,,,Up-Pan
SAMD9L,0.667321227,1.00889373,,,,,,,,,0.793526146,0.832015058,0.686273344,0.758464489,,,1.003429595,1.429001732,,,,,Up-Pan
SCLT1,,,,-0.508585512,,,,,,,,,,,,,,,,,,,Up-Pan
SDR42E2,,,,,,,,,,,-0.663304715,-0.435948173,,,,,-0.411235967,,,,,,Up-B
SERPING1,,,,,,,,,,,,,,,,,1.054208717,,,,,,Up-Monocyte
SGK1,,,,,,,,,,,,0.493367366,,,,,-0.60364765,,,,,,Up-T
SIK1,,,,,,,,,,,,,,,,,-0.622288736,,,,,,Up-B
SIT1,,,,,,,,,,,,0.267330623,,0.504270245,,,,,,,,,Up-T
SLC2A3,-0.514091667,-0.436025722,,-0.326536167,,,,,,,-0.403395962,-0.355862556,-0.525535483,-0.435772583,,,,-0.477242152,,,,,Up-T
SLFN5,,,,0.631958974,,,,,,,0.269955704,0.180742202,0.441272383,0.304800457,,,,,,,,,Up-Pan
SNHG15,,,,,,,,,,,,,,,,,-0.525309909,-0.365517129,,,,,Up-B
SNHG9,-0.422483416,-0.269905145,-0.501437126,-0.418435573,,,,,,,-0.309776948,-0.244652928,-0.362265422,-0.304573296,,,-0.269103514,-0.303752115,,,,,Down-Monocyte
SNORD3A,,,,,,,,,,,-0.588538491,,,,,,-0.532230107,-0.714306341,,,,,Down-Monocyte
SNORD3B-1,,,,,,,,,,,,,,,,,-1.370732308,,,,,,Up-B
SOCS2,,,,,,,,,,,0.726703895,0.887357071,,,,,,,,,,,Up-T
SP110,0.286755103,0.292420508,,0.432694577,,,,,,,0.207965556,0.301385715,0.291364594,0.372194553,,0.640369979,0.430181844,0.593566726,0.443237242,0.531762981,,,Up-Pan
STARD3NL,,,,0.595221416,,,,,,,,,,,,,,,,,,,Up-T
STAT1,,,,,,,,,,,0.8009401,0.64704941,0.773796762,0.586820731,,,0.786357646,0.731517199,0.760788062,0.97150277,,,Up-Pan
STAT2,,,,,,,,,,,,0.396588118,,,,,0.441514602,0.514593351,,,,,Up-Pan
STRADB,,,,,,,,,,,0.597436666,0.533100061,,,,,,,,,,,Up-T
STX7,,0.547826129,,,,,,,,,,,,,,,0.391259489,0.312018565,,0.304192843,,,Up-Pan
SULF2,,,,,,,,,,,,0.815581781,,,,,,,,,,,Up-Monocyte
TAP1,,,0.380027604,0.569235194,,,,,,,0.521407955,0.470498321,0.402062716,0.422533439,,,0.563155005,0.63459097,,,,,Up-Pan
TBC1D19,,,,,,,,,,,-0.547217061,-0.434416424,,,,,,,,,,,Down-Monocyte
TCEAL4,,,,,,,,,,,,,-0.552649846,,,,,,,,,, 
TCL1A,0.647466417,0.866045417,,,,,,,,,,,,,,,,,,,,,Up-B
TCN2,,,,,,,,,,,,,,,,,0.653995964,,,,,,Up-Monocyte
TESC,,,,,,,,,,,,,,,,,,,,-0.662899654,,,Up-T
TGIF1,,,,,,,,,,,,,,-0.500539911,,,-0.431619526,,,,,,Up-T
TIGIT,,,,,,,,,,,0.985879071,0.652556561,,,,,,,,,,,Up-T
TIMP1,,,-0.60686106,-0.339641764,,,,,,,,,,,,,,,,,,,Up-Monocyte
TIPARP,,,,,,,,,,,,,,,,,-1.695606064,-1.028548078,,,,,Up-T
TMEM107,,,,,,,,,,,-0.345469352,,-0.407368326,,,,-0.849327342,-0.446601356,,,,,Down-Monocyte
TMEM123,,0.421345547,,,,,,,,,,,,,,,,0.377342984,,0.668197182,,,Up-Monocyte
TMEM156,,,,,,,,,,,,0.7240631,,,,,,,,,,,Up-T
TNFAIP8L2,,,,,,,,,,,,,,,,,,0.508749047,,,,,Up-Monocyte
TNFRSF18,,,,0.438761045,,,,,,,,0.635809819,,,,,,,,,,,Up-T
TNFRSF4,,,,,,,,,,,0.663332381,0.666196729,,,,,,,,,,,Up-T
TNFSF10,,,,,,,,,,,0.424067531,0.512924462,,,,,0.66749072,0.917323541,0.668257961,1.454481337,,,Up-Monocyte
TNFSF13B,,,,,,,,,,,0.530011435,0.372677128,,,,0.268972966,0.380721259,0.354489193,0.37657224,0.647068365,,,Up-Monocyte
TRIM22,0.484967755,0.474582142,,0.442970069,,,,,,,0.368573527,0.373943621,0.468681611,0.388411128,,,0.53412817,0.809812109,0.549294849,0.931578545,,,Up-Pan
TRIM52-AS1,,-0.391329375,,,,,,,,,-0.393464745,-0.227222072,,-0.362201341,,,,-0.523638496,,,,,Down-Pan
TRIM69,,,,,,,,,,,,0.45285282,,,,,,0.709523826,,,,,Up-Monocyte
TSC22D3,,,-0.621846967,-0.426882686,,,,,,,-0.268222565,,-0.36014592,,,,,,-0.276156243,,,,Up-B
TSHZ2,,,,,,,,,,,-0.726733641,-0.651644126,,,,,,,,,,,Down-Pan
TUBA1A,-0.309316834,,-0.40812527,,,,,,,,-0.399382323,-0.206364566,-0.540026141,,,,,,,,,,Up-B
TYMP,,0.224050008,,0.542821568,,,,,,,0.192809083,0.395358874,,,0.582700392,0.504199213,0.434814351,0.504002976,0.276808291,0.331949612,,,Up-Pan
TYROBP,,,-0.137539031,,,,,,,,,,,-0.555588264,,,,,,,,,Up-Monocyte
UBE2L6,,0.549402463,0.370936347,0.396852646,,,,,,,0.394829627,0.43355378,0.373330135,0.34578353,,0.506505623,0.677716022,0.690154788,0.511406639,0.586025382,,,Up-Pan
VMO1,,,,,,,,,,,,,,,,,,,,-1.150575571,,,Down-Monocyte
VNN2,,,,,,,,,,,,,,,,,,-0.542867588,,,,,Up-T
VPREB3,,0.504211217,,,,,,,,,,,,,,,,,,,,,Up-B
VRK2,,,,,,,,,,,,,,,,,,0.599444668,,,,,Up-Pan
XAF1,0.729166798,,,,,,,,,,0.794861514,0.980224449,0.826272402,0.942748746,,,0.725020993,1.245931989,,,,,Up-Pan
ZCCHC2,,,,,,,,,,,,,,,,,,0.503276912,,,,,Up-Monocyte
ZDHHC1,,,,,,,,,,,,,,,,,-0.580266306,-0.467453135,,,,,Down-Monocyte
ZFP36,-0.248258685,,-0.569664468,,,,,,,,,,-0.455645186,,-0.52768956,,-0.563231982,-0.310905047,-0.603501736,-0.276684329,,,Up-B
ZNF331,,,,,,,,,,,-0.493222095,,-0.768436702,,,,-1.12028718,,,,,,Up-B
