##Data Table S3. List of differentially expressed genes and which cell type(s) they are differentially expressed in.,,,,,,,,,,,,,,,,,,,,,,,
,B-Asian,B-European,NK-Asian,NK-European,PB-Asian,PB-European,Progen-Asian,Progen-European,Prolif-Asian,Prolif-European,T4-Asian,T4-European,T8-Asian,T8-European,cDC-Asian,cDC-European,cM-Asian,cM-European,ncM-Asian,ncM-European,pDC-Asian,pDC-European,Module
CD40,,0.312292796,,,,,,,,,,,,,,,,0.636384382,,,,,Up-B
CD69,,,-0.540589122,,,,,,,,,,-0.334648877,,,,,,,,,,Up-B
CD83,-0.640928135,-0.533123699,,,,,,,,,,,,,,,-1.041582864,-0.631328455,,-0.444310807,,,Up-T
CDKN1A,,,,,,,,,,,,,,,,,-0.620647445,,,,,,Up-B
CECR1,,,,,,,,,,,,,,,,,,0.217491257,,0.665649509,,,Up-Monocyte
CELA1,,,,,,,,,,,,-0.559066027,,,,,,,,,,,Down-Pan
CHD1,,-0.245407112,,-0.521899212,,,,,,,,,,,,,-0.245259033,,,,,, 
CHMP1B,,,,,,,,,,,-0.200759053,,-0.206540608,,-0.567985766,,-0.410241746,,,,,,Up-B
CHMP5,0.384527365,0.537791691,,0.515567893,,,,,,,0.255031933,0.377529178,,,,,0.494422149,0.659178087,0.505498326,0.681932598,,,Up-Pan
CISH,,,,,,,,,,,,1.184545142,,,,,,,,,,,Up-T
CLECL1,,-0.655164338,,,,,,,,,,,,,,,,,,,,,Up-Monocyte
CMPK2,,,,,,,,,,,,,,,,,1.082583627,1.666373577,,,,,Up-Pan
CNP,,,,,,,,,,,,,,,,,,0.515187736,,,,,Up-Pan
COBLL1,,-0.504955099,,,,,,,,,,,,,,,,,,,,,Down-Pan
CREM,,,,-0.77177204,,,,,,,,,,,,,,,,,,,Up-T
CTA-29F11.1,,,,,,,,,,,-0.50238838,,-0.556573965,,,,-0.537129315,,,,,,Down-Pan
CTD-2035E11.3,,,,,,,,,,,-0.833081498,-0.556609565,,,,,,-0.600666523,,,,,Down-Pan
CTSL,,,,,,,,,,,,,,,,,,0.95761038,,0.300560377,,,Up-Monocyte
CUL1,,,,,,,,,,,,,,,,,,0.86489828,,,,,Up-Monocyte
CX3CR1,,,,0.99068317,,,,,,,,,,,,,,,,1.117191206,,,Up-Monocyte
CXCL10,,,,,,,,,,,,,,,,,1.994110186,,,,,,Up-Monocyte
CXXC5,,,,,,,,,,,,,,,,,-0.750998206,-0.523852527,,,,,Down-Pan
CYP1B1,,,,,,,,,,,,,,,,,-0.471718844,-0.64022546,,,,, 
DDX58,,,,,,,,,,,,,,,,,0.755174672,1.07823718,,,,,Up-Pan
DDX60,,,,,,,,,,,0.965500944,1.152087503,,,,,,1.407882267,,,,,Up-Pan
DDX60L,,,,,,,,,,,0.368173976,0.369412703,,,,,0.590282002,0.666033423,,,,,Up-Pan
DNAJB1,,,,-0.473681061,,,,,,,-0.454926753,-0.355813256,-0.564504975,-0.350623347,,,,,,,,,Down-Pan
DTX3L,,,,,,,,,,,,,,,,,0.543955171,0.871567786,,,,,Up-Pan
DUSP1,,,-0.885888646,-0.559705709,,,,,,,-0.49204601,-0.379574124,-0.935337053,-0.56349043,-0.579470205,,-0.636818637,-0.323554107,-0.572360777,-0.295665623,,,Up-B
DYSF,,,,,,,,,,,,,,,,,,0.652921134,,,,,Up-Monocyte
EIF2AK2,,,,,,,,,,,0.750604694,0.766109243,0.727531082,0.669581485,,,0.67713503,0.894767471,,,,,Up-Pan
EIF3L,-0.25282213,-0.260287268,,,,,,,,,-0.338351884,-0.388587806,-0.271322625,,-0.355412182,-0.389359934,-0.411409736,-0.486439626,-0.436365371,-0.502625165,,,Down-Pan
EIF4B,,-0.306726281,,,,,,,,,-0.226960164,-0.249057368,,,,,-0.509274233,-0.661759253,-0.511255194,-0.504079605,,,Down-Pan
ELMSAN1,,,,,,,,,,,,,,,,,-0.653985901,-0.389927352,,,,,Down-Pan
EPSTI1,,,,,,,,,,,1.219259961,1.097493062,1.147980967,,,,1.115585963,1.771304565,1.020885668,1.634582588,,,Up-Pan
EREG,,,,,,,,,,,,,,,,,-0.847888955,,,,,,Up-T
EXOSC3,,,,,,,,,,,,,,,,,,0.540241044,,,,,Up-Monocyte
FABP5,,,,,,,,,,0.604242319,0.513459567,0.337299328,0.442280071,,,,,0.41107856,,,,,Up-T
FAM101B,,,,,,,,,,,,,,,,,,-0.624433997,,,,,Down-Pan
FAM13A,,,,,,,,,,,0.863338608,0.65456122,,,,,,,,,,,Up-T
FAM3C,,0.63378536,,,,,,,,,,,,,,,,,,,,,Up-B
FBXO6,,,,,,,,,,,,,,,,,0.5136435,0.854804012,,,,,Up-Pan
FCGR1A,,,,,,,,,,,,,,,,,0.521002898,0.553939476,,,,,Up-Monocyte
FCGR1B,,,,,,,,,,,,,,,,,0.721821916,0.629310276,,,,,Up-Monocyte
FCGR3A,,,,,,,,,,,,,,,,,0.65258182,0.554284619,,,,,Up-Monocyte
FCRL5,0.640644128,,,,,,,,,,,,,,,,,,,,,,Up-B
FKBP5,,,,,,,,,,,,,,,,,,0.809989883,,,,,Up-Monocyte
FOS,-0.668691271,-0.386201974,-0.934212749,-0.763472948,,,,,-0.934909273,,-0.785348094,-0.645953265,-1.069285232,-0.709580156,-0.697485623,-0.402049536,-0.723058862,-0.419436188,-0.949091096,-0.544116639,,,Up-B
FOSB,-0.347758022,-0.517304285,,-0.630379254,,,,,,,-0.464552914,-0.467167657,-0.813147169,-0.529132442,-0.621261677,-0.253180103,-0.747008067,-0.501647615,-0.721887865,-0.404925071,,,Up-B
FOSL2,,,,-0.4179771,,,,,,,,,,-0.590140727,,,,-0.439553864,,,,,Up-T
FPR1,,,,,,,,,,,,,,,,,,,0.547696612,,,,Up-Monocyte
FRG1B,,,,,,,,,,,,,,-0.534446484,,,,-0.58887216,,,,,Down-Pan
G0S2,,,,,,,,,,,,,,,,,,-0.803746291,,,,,Up-T
GABARAPL1,,,,,,,,,,,,,,,,,-0.560201842,,,,,,Up-B
GBP1,,,,,,,,,,,0.707430178,0.548204543,,0.489251326,,,1.218359556,1.433661713,,,,,Up-Pan
GBP3,,,,,,,,,,,,,,,,,,0.535027686,,,,,Up-Pan
GBP4,,,,,,,,,,,0.379138139,,,,,,0.580655709,0.697893867,,,,,Up-Pan
GBP5,,,,,,,,,,,0.351822027,0.427035849,,,,,,0.940711003,,,,,Up-Pan
GIMAP2,,,,,,,,,,,-0.156253012,,,,,,,,,0.584655991,,,Up-Monocyte
GIMAP4,,,,,,,,,,,,,,,,,0.600628926,0.752864809,0.6448763,1.040442113,,,Up-Monocyte
GIMAP5,,,,,,,,,,,,,,,,,,0.701510676,,,,,Down-Pan
GIMAP7,,,,0.375434006,,,,,,,,,,,,,0.689077645,0.987173836,,1.235042298,,,Up-Monocyte
GLUL,,,,,,,,,,,,,,,,,,0.247659406,,0.638814659,,,Up-Monocyte
GNLY,,,,,,,,,,,-0.186572355,,,-1.063491795,,,,,,,,,Down-Pan
GPR171,,,,,,,,,,,0.584472612,0.564170532,,,,,,,,,,,Up-T
GPR183,,,,,,,,,,,,,-0.455976364,,-0.874085571,,-1.063251663,,,,,,Up-T
GZF1,,,,,,,,,,,,,,,,,-0.638126494,,,,,,Up-B
HCAR3,,,,,,,,,,,,,,,,,,-0.682412075,,,,, 
HERC5,,,,,,,,,,,0.994961199,1.092076004,,,,,0.85643853,1.551211945,,,,,Up-Pan
HIST1H2AC,,0.560563827,,,,,,,,,,,,,,,,,,,,,Up-Pan
HLA-C,,,,,,,,,,,,,,,,0.315832926,,,,,,0.504143703,Up-Pan
HLA-DQB1,0.335016496,,,,,,,,,,0.443922723,,0.621639213,,,,,,,,,,Up-Pan
HSH2D,,,,-0.386201447,,,,,,,,0.434548979,,,,,0.616879524,0.652638902,,,,,Up-Pan
HSP90AB1,,,,,,,,,,0.504069549,,,,,,,,,,,,,Up-Pan
ICAM4,,,,,,,,,,,,,,,,,,,,-0.811335298,,,Up-T
ID3,,,,,,,,,,,-0.548348475,,,,,,,,,,,,Up-T
IER3,,,,,,,,,,,,,,,,,-0.618515167,-0.53671643,,,,,Up-T
IER5L,,,,,,,,,,,,,,,,,,-0.553343849,,,,,Up-B
IFI16,,0.22866615,0.342988287,0.417435775,,,,,,0.484247185,0.358257933,0.347232415,0.343020049,0.385946427,0.520552057,0.624322456,0.58081152,0.653354186,0.391445361,0.634460123,,,Up-Pan
IFI27,,,,,,,,,,,2.498834861,2.836163508,2.834914095,,,,2.710638049,2.86550017,,,,,Up-Pan
IFI35,,,,0.571101349,,,,,,,0.552511899,0.524754027,0.49183303,0.528357093,,,0.703493026,1.034682473,0.589701314,0.824931086,,,Up-Pan
IFI44,,,,,,,,,,,1.132677243,1.090335971,,,,,0.963471666,1.634911794,,,,,Up-Pan
IFI44L,1.693247936,,,,,,,,,,1.590071365,2.070888084,1.987912342,,,,1.384285924,2.364891426,,,,,Up-Pan
IFI6,0.839353621,1.250096609,1.018266828,0.988374689,,,,,,,0.981949909,0.999116348,0.954110206,0.77157197,1.296526093,1.841314033,1.084356003,1.6881294,1.04217722,1.616721309,,,Up-Pan
IFIH1,,,,,,,,,,,,,,,,,,0.960624861,,,,,Up-Pan
IFIT1,,,,,,,,,,,,,,,,,1.451918293,2.185452073,,,,,Up-Pan
IFIT2,,,,,,,,,,,,,,,,,1.289747309,1.777035324,,,,,Up-Monocyte
IFIT3,,,,,,,,,,,,,,,,,1.520284901,2.247478559,,,,,Up-Pan
IFITM1,1.245665493,1.285986581,,0.204350516,,,,,0.863150841,0.806247557,0.358339048,0.310789058,0.369485059,0.345516429,,,1.171904236,1.497960331,1.417593144,1.406912547,,,Up-Monocyte
