,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
10,CRIP1,IER2,ILF3-AS1,NCR3,GIMAP4,CD69,PLAC8,PYHIN1,CCR1,IRF7,CD27,ZFP36,RGS18,BTG2,IL7R,RORA,RP11-138A9,HLA-DPA1,STAT1,CAPG,KLRB1,TNFRSF17,HMGB2,FAM3C,IFITM3,HLA-DPB1,SPTSSB,NFKBIZ,IL32,CD74,TIGIT,TNFSF10,MS4A1,CENPF,CSF3R,PATL2,LRRC26,PLD4,ALOX5AP,AKR1C3
11,IFITM1,RP11-367G6,RP1-313I6.,RP1-313I6.,TUBA1B,IER2,UTRN,CTSC,DUSP6,CD27,TNFRSF4,ID1,SPARC,MIR24-2,KLRB1,ZBTB16,PPP1CB,VNN2,CDC42EP3,ANXA1,B2M,IGLL5,IFITM1,CD72,RHOB,FOS,CD7,PLAUR,ANXA1,HLA-DQA2,GZMA,MT2A,FAM129C,CLSPN,IFI44,GZMA,CCDC50,LY6E,MGST1,CD247
12,GPR171,PDE4D,SLC2A3,SDF2L1,FCGR3A,SOCS3,RORA,GZMA,CTNNB1,IFITM3,FAIM3,CTB-61M7.2,MYL9,RGCC,KLF6,GPR171,GIGYF1,G0S2,GZMA,B2M,FAM13A,VIMP,CES1,FCRLA,PELI1,LY6E,CTSW,PDE4B,CD3D,HLA-DRB5,EOMES,HERC5,MZB1,UBE2C,IFI6,C12orf75,SCT,GADD45B,VNN2,KLRB1
13,IER2,PF4,KLF6,TMEM107,IER5,RP11-138A9,STAT1,ATM,ACSL1,LTB,CLDND1,RGCC,TSC22D1,ZFP36L1,RORA,FKBP11,FOXP1,ZFP36L1,LGALS1,ANKRD28,LPAR6,AL928768.3,MT2A,HLA-DQA1,ZBTB16,HLA-DRA,NCAM1,BCL2A1,MT2A,HLA-DMB,GZMH,STAT1,CD72,SMC4,CD99,PRSS23,PTCRA,IER2,GCA,CCL4
14,TRAT1,ZFP36,PMAIP1,GIMAP4,CD3G,PIM2,SYNE1,CD27,CTB-61M7.2,MT1X,HERC5,TREM1,RP11-367G6,TRIB1,CD2,SPOCK2,FGD2,LPAR6,RNF213,ISG15,TNFRSF4,MAN1A1,IL1R2,CD79A,ACSL1,ISG15,CAPN12,CCL3L1,LINC00152,CPVL,ZBTB38,PLSCR1,SMIM14,ASPM,NRG1,KLRD1,MZB1,CD1C,CDA,GZMA
15,AC092580.4,NR4A2,IFRD1,LY6E,GPR65,DUSP2,SAMD9,ARRDC3,PLEK,ITM2A,ID3,ZNF331,AP001189.4,FOSB,RP11-403A2,MYBL1,SAR1A,CTB-61M7.2,SLFN5,MGST1,CD99,POU2AF1,IRS2,HLA-DPB1,HMGB2,HLA-DPA1,MATK,LINC00936,FOSB,PHACTR1,CST7,B2M,IGLL5,HIST1H1C,CAPG,FCRL6,IRF7,AL928768.3,S100A9,FCGR3A
16,PASK,IFI27,RP11-347P5,IFIT3,EML4,MAL,IFITM3,STAT1,MAFB,PLSCR1,ARRDC3,RGS2,C2orf88,TLE4,S100A4,ID2,PIP4K2A,NAMPT,MNDA,PLAC8,KLF6,ZBP1,IFIT3,HLA-DQB1,SLA,ITGB1,MAFF,PLEK,S100A4,CST3,KLRG1,IFI27,RALGPS2,CCDC167,MGST1,IL32,DNASE1L3,MZB1,VCAN,MYOM2
17,S100A4,IFI44,IRF1,IFITM1,IL32,RP11-138A9,B2M,LBH,ZEB2,IFIT3,IKZF2,GPR183,PDLIM1,RASGEF1B,IL2RG,PDE4D,PIM2,HLA-DQA1,FCER1G,CD68,ADTRP,ISG20,HERC5,SMIM14,CEBPD,PPP1R15A,KLRC2,MARCKS,BCL7A,LMNA,GZMM,IRF7,PLD4,MT1E,MNDA,AC092580.4,IRF8,RGS2,CKAP4,HOPX
18,LEPROTL1,HIST1H1C,AC016629.8,CD79B,TIMP1,ARL4C,IFIT3,SYNE2,PTGS2,RNF213,ITGB1,LY6E,CD69,NEAT1,MAF,GTF3C1,RP11-538P1,BASP1,LBH,CD99,MAF,CCDC167,ISG20,HLA-DPA1,IFI6,IFI44L,IL18RAP,SGK1,LEPROTL1,BASP1,CD3D,PLAC8,BCL7A,MIR4435-1H,HERC5,CD8A,PTPRS,ISG15,MEGF9,CTSW
19,CD27,TSC22D1,GADD45B,AC016629.8,LPAR6,ZFP36,APOBEC3A,STK17A,LMNA,B2M,ITM2A,NAMPT,PTCRA,RAB11FIP1,ALOX5AP,SYTL2,PRDM1,AQP9,KLRG1,IFI27,AHNAK,TNFRSF13B,IFIT1,CD22,AREG,CD8A,IL18R1,NAMPT,IER2,TUBA1B,IFNG,MARCKS,KIAA1407,LINC00152,CD163,CD99,ALOX5AP,NEAT1,CTSD,S1PR5
