,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
0,MT2A,IFI44L,CD69,CALR,CALR,BCL2,ISG15,GIMAP4,ATP2B1,ISG15,RTKN2,G0S2,HIST1H2AC,DUSP6,ITGB1,KLRB1,C1orf56,RGS2,GIMAP4,IFI6,CD40LG,MZB1,ISG15,FCRL5,SAP30,S100A4,XCL2,IL1B,IL4R,FCER1A,CMC1,ISG15,TCL1A,STMN1,LGALS2,GZMH,ITM2C,PPP1R14A,S100A12,SPON2
1,ISG15,CD69,PPP1R15A,HSPA5,MARCKS,PIM1,RNF213,CD2,G0S2,IFI44L,TIGIT,GABARAPL1,PPBP,ATP2B1,TNFRSF4,NCR3,CDC42SE1,C5AR1,APOBEC3G,ID2,ARID5B,IGJ,IFI44L,HSPB1,THBS1,B2M,XCL1,G0S2,TCL1A,CLEC10A,CD8B,IFI6,PPP1R14A,KIAA0101,VCAN,FGFBP2,LILRA4,CLECL1,PLBD1,GZMB
2,B2M,ISG15,IER2,GS1-251I9.,APOBEC3A,FAM13A,SYNE2,CLDND1,IL1B,LY6E,RP11-1399P,CDKN1A,CLU,KLF6,CD69,GZMK,HNRNPH1,BCL2A1,PPP1R18,LY6E,ITGB1,SDF2L1,IFI6,FCRL3,CD163,PTGER2,KLRC1,CCL3,FOS,CD1C,CCL5,LY6E,VPREB3,PCNA,CD14,NKG7,SERPINF1,B2M,RBP7,PRF1
3,LY6E,RGS1,FOSB,PLAC8,HSPA5,PTGER2,IFI44L,PASK,RASGEF1B,IFI6,ARID5B,NR4A2,PF4,SGK1,IL32,KLRG1,MDM4,B2M,CTSC,ID1,ANXA1,XBP1,THBS1,MPP6,MT2A,CD74,CMC1,IL8,PPAPDC1B,HLA-DQA1,CD8A,IFI44L,CD79B,MKI67,MS4A6A,CCL5,PLD4,TNFRSF13B,QPCT,FGFBP2
4,ANXA1,LY6E,NR4A2,ILF3-AS1,SDF2L1,TRAT1,GIMAP4,B2M,SGK1,IFITM1,IL2RA,SLC2A3,TUBB1,EGR1,CD40LG,IL7R,B4GALT1,RHOB,PLEK,CES1,CRIP1,CD38,SAMSN1,CLECL1,ARL4A,KLF6,IL2RB,EREG,YBX3,HLA-DPB1,GZMK,IFIT3,FCRLA,PTTG1,S100A8,ZNF683,IGJ,GPR183,CES1,KLRF1
5,GZMK,ISG20,RGS1,RNU12,PPBP,GPR171,ETS1,PLAC8,PLAUR,IFI27,RGS1,FOSL2,NRGN,CCR1,CRIP1,LYAR,APOBEC3C,CLEC4E,GZMH,LGALS3,AP3M2,HSPA5,LY6E,MS4A1,IRS2,ANXA1,GNLY,TNFAIP3,ID2,HLA-DPA1,SH2D1A,IFITM3,CD79A,RRM2,S100A12,GZMB,PPP1R14B,SPIB,C19orf59,CLIC3
6,IFI6,IFI6,FOS,PSIP1,CLU,PRKCQ-AS1,LY6E,SAMSN1,ANKRD28,IFI44,ICA1,SIK1,SDPR,JUND,B2M,AC092580.4,C16orf54,EGR1,APOBEC3C,LMNA,TRAT1,ITM2C,SAP30,CD19,SAMSN1,LGALS1,KLRF1,SOD2,CD69,HLA-DQB1,CD160,IFIT1,SNX29P2,HIST1H4C,IFI44L,CST7,UGCG,ITM2C,RETN,GNLY
7,LYAR,IFITM1,ZFP36,XBP1,ZFP36L1,ADTRP,ATM,PLEK,PTPRE,ISG20,BIRC3,PLAUR,MAP3K7CL,MAFB,ANXA1,DUSP2,CTNNB1,PLAUR,TNFSF10,IGSF6,S100A4,FKBP11,IFI44,FCRL2,IL1R2,ZFP36,TNFRSF18,IER3,FAM3C,HLA-DRB1,CCL4,APOBEC3A,RP11-164H1,TUBA1B,S100A9,B2M,TPM2,CRIP1,HMGB2,IGFBP7
8,ITM2A,ZNF331,BTG2,IFI44L,PLAC8,SOCS1,SLFN5,ITGB1,EREG,MT2A,PMAIP1,SOCS3,GNG11,ANKRD28,GATA3,GPR65,TRA2A,SGK1,SPN,CD63,TSHZ2,DERL3,IFI27,PPP1R14A,ZFAND5,CCL5,HOPX,CXCL2,FCER2,HLA-DRA,DUSP2,IFIT2,NEIL1,TOP2A,CLEC4E,GNLY,TCF4,S100A4,CYP1B1,NKG7
9,IL32,CREM,SOCS3,FCGR3A,C1QA,ARID5B,IFI6,SAMD9,SAMSN1,STAT1,ISG20,C5AR1,ACRBP,LINC00936,LTB,SLC4A10,PPP3CA,HLA-DQB1,PRF1,IFITM3,GPR183,CALR,ACSL1,HSPA4,PER1,HLA-DRB1,KLRD1,CD83,HSPB1,HLA-DMA,NKG7,IFI44,SPIB,HMGB2,STAT1,ITGB1,DERL3,NEIL1,S100A8,CST7
