,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
10,Slc45a3,Hist1h2bg,Hist1h3h,Bpgm,Gm5111,Vpreb1,Eno3,Apol11b,Ncr1,Grm6,Ctla2a,Prss50,Cyp11a1,Gm15915,Tent5c,C1qc,Gp5,Hbq1b,Slc45a3,Epb42,Il4,Gm4737,Il4,Fgf3,Car1,Cd5,Spta1,Alas2,Rhd,Gm15915,Il4,Gm21762,Gm30948,Reep2,Sh3bgr,Vpreb1,Myom1,Pltp,Hemgn,Ifit3
11,Myl4,Hist1h3d,Hist1h2af,Slc45a3,Slc38a5,Igll1,Tmod1,Cd36,Klra4,Klk1,Gata2,Saa3,Spp1,Apoe,Adgre4,C1qb,Igll1,Hemgn,Prss50,Tmod1,Sytl3,Hist1h2bk,Cpa3,Tppp3,Pklr,Themis,Ank1,Ace,Gypa,Slc38a5,Prss34,Fabp4,C1qc,Il6,Klk1,Sh2d4a,Mrvi1,C1qb,Ackr1,Ifit3b
12,Spint1,Hist1h3h,Pklr,Mc5r,Nxpe2,Dlg2,Hbq1b,Ube2o,Klri2,Fcer1a,Cpa3,Bcl2a1d,Il4,Car1,Bpgm,C1qa,Vpreb1,Arpp21,Mt2,Apol8,Ccl3,Hist1h3b,Grm6,Cd300c,Cpne8,Thy1,Pkhd1l1,F2r,Cldn13,Gp5,Gata2,Cd300c,Ecm1,Csrp3,Gm21762,Cyp11a1,Ehd3,C1qc,Pdzk1ip1,Slfn5
13,Myct1,Hist1h2bn,Gm10076,Tent5c,Cd34,Bcl2a1d,Hemgn,Sowaha,Timp1,Cyp11a1,Cyp11a1,Ifit3,Rnase12,Gm30948,Slc45a3,Gm11697,Vpreb2,Pdzk1ip1,C1qb,Adgrl4,D430036J16,Hist2h3b,C3ar1,Klk1,C1qa,Nsg2,Ackr1,Hba-a2,Ctse,Vwf,Prss50,Klk1,Vldlr,Fcer1a,Cd300c,Igll1,Mycn,Cd8b1,5430401H09,Phf11d
14,Fgf3,Hist1h4m,Hist1h4m,Cpne8,Cldn13,Vwf,Slc4a1,Prxl2a,Ccl5,Prss34,Cd200r3,Spp1,Saa3,Ecm1,Ecm1,Vldlr,Add2,Dlg2,Mc5r,Pkhd1l1,Prss34,Ighd,Pf4,Slc45a3,C3ar1,Sidt1,Tspan33,Snca,Kel,Sh3tc2,Mcpt8,Sh3bgr,Dlg2,Gata2,Gm19590,Cd200r3,F2r,Cd8a,Gypa,Gm5111
15,1700027J07,Sh2d4a,Hist1h2bg,Prxl2a,Sh3tc2,Vpreb2,Slc6a9,Rsad2,Flt3,Klk1b27,Mc5r,Tppp3,Flt3,Dab2,Cavin1,Hlf,Smim1,Tmod1,F2r,Slc6a20a,Rbp1,Smpdl3b,Il6,Smpdl3b,Nrgn,Lat,Gm867,Gm15915,Slc38a5,Add2,Alox15,Tppp3,Hlf,Hlf,H2-Eb1,Alox15,Exoc3l2,Flt3,Slc6a20a,Cpne8
16,H2-Eb1,Hist1h4n,Hist1h3d,Alas2,Ank1,Gm30948,Slfn5,Hbq1b,H2-Eb1,Adgrl4,Ms4a2,Ifit3b,Il6,Spint1,Cpne8,Nrgn,Slc38a5,Sptb,C1qc,Trim10,Myct1,Mc5r,D430036J16,Atp2a1,Mt2,Cxcr6,Apol8,Tent5c,Sptb,Clca3a1,Gm15915,Eno3,Arpp21,C1qb,Rbp1,Gm30948,Clca3a1,C1qa,Sptb,Ifit1
17,Pltp,Atp7b,Hist1h4n,Klrk1,Arpp21,1700027J07,Pltp,Trim10,Adamts14,Mpl,Bcl2a1d,F2r,F2r,Vpreb1,Alas2,Gm19590,Clca3a1,Rhd,Gp5,Gm14198,Ms4a2,Hist1h2ad,Gm11697,Flt3,Cxcl10,Cd6,Epb42,Rab27b,Nxpe2,Gp1ba,Gm11697,Cox6a2,C1qa,C1qc,Klk1b27,Prss50,Pde10a,Dntt,Hbb-bt,Drc7
18,Pklr,Pklr,Erh,Snca,Rhd,Saa3,Pdzk1ip1,Ace,Atp1b2,Mcpt8,Il4,Drc7,Timp1,Maf,Fabp4,Cpa3,Gfra2,Pkhd1l1,Gzma,Mc5r,Il6,Hist1h2ah,C1qa,Eno3,Clca3a1,Izumo1r,Slc6a20a,Nrgn,Btnl10,Eno3,Cpa3,Klk1b27,Mertk,Ms4a2,Cd74,Gm15915,Slc14a1,Timp1,Btnl10,Cd34
19,Igsf3,Igsf3,Atp7b,Ctla2a,Adgrl4,Sphk1,Hist1h4m,Slc4a1,Il2rb,Dab2,Csrp3,Mt2,Sytl3,Mertk,Gp5,Gata2,Bfsp2,5430401H09,Klrb1c,Gypa,C1qa,Timp1,Alox12e,Bcl2a1d,F2rl2,Ehd3,Rhag,Bpgm,Trim10,Slc14a1,Sphk1,Atp2a1,Vpreb1,Ifit3,Mpl,C1qa,Nrgn,Arpp21,Gm14198,Isg15
