,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
0,Ace,Hist1h2bk,Hist1h2an,Timp1,Atp7b,Ace,Ace,Hba-a2,Slc45a3,C1qb,Cd34,Slc45a3,Slc45a3,Slc45a3,Saa3,Myct1,Mt2,Gm30948,Spint1,Slc4a1,Cd200r3,Ace,Prss34,Ace,Ifit1,Cd3e,Dmtn,Gm4737,Spint1,Atp7b,Pklr,Myl4,Spint1,Alox15,Gm5111,Pklr,Treml1,Siglech,Fn3k,Ace
1,Eno3,Hist1h3b,Hist1h2ao,Spp1,Pklr,Sh2d4a,Adgre4,Tent5c,F2r,Timp1,Ace,Gm15915,Mc5r,C1qb,Timp1,Ctla2a,Sphk1,Fn3k,Saa3,Fn3k,Alox15,Fabp4,Mcpt8,Siglech,Ifit3b,Cd3g,Hemgn,Scamp4,Saa3,Sh2d4a,Csrp3,Ace,Saa3,Ccl3,Flt3,Atp1b2,Pf4,Ccr9,Slc4a1,Tppp3
2,Adgre4,Hist2h3b,Hist1h3b,Flt3,Sh2d4a,Tppp3,Gm867,Slfn14,Mc5r,C1qc,Tppp3,Ace,Csrp3,C1qc,Spp1,Mc5r,Car1,Gm867,Gm15915,Cd34,C1qb,Eno3,Fcer1a,Cox6a2,Ifit3,Trac,Sptb,Slc45a3,Spp1,Igsf3,Car1,Siglech,Timp1,Cd200r3,Atp2a1,C3ar1,Vwf,Cd300c,Gm867,Fabp4
3,Fabp4,Hist1h2ah,Hist1h2ag,Spint1,Sphk1,Adgre4,Tppp3,Alas2,Klrk1,C1qa,Adgre4,Fabp4,Cd34,Saa3,C1qb,Slc45a3,Atp1b2,Dmtn,Spp1,Gm867,Vldlr,Bcl2a1d,Cd200r3,Ccr9,Saa3,Cd8b1,Slc4a1,Gp9,Cpne8,Pklr,Cyp11a1,Cplx2,Cpne8,Sytl3,Siglech,Car1,Rab27b,Klk1,Dmtn,Eno3
4,Bcl2a1d,Hist1h2ao,Hist2h3b,Cd34,Igsf3,Pklr,Fn3k,Snca,Gzma,Spp1,Flt3,Atp1b2,Gm11697,F2r,C1qc,F2r,Pklr,Slc4a1,Cd34,Dmtn,Fcer1a,Adgre4,Cyp11a1,Pltp,Spp1,Cd3d,Fn3k,Adgre4,Timp1,Sphk1,Cd200r3,Ifit3,Spp1,Cyp11a1,Reep2,Mt2,Gp5,Gm21762,Hbq1b,Smpdl3b
5,Tppp3,Hist1h2an,Hist1h2ad,C1qb,Dntt,Eno3,Fabp4,Bpgm,Klrb1c,Cd200r3,Eno3,Car1,Ccl3,C1qa,Spint1,Rbp1,Prss50,Apol8,Timp1,Sox6,C1qc,Slc45a3,Ms4a2,Pacsin1,C1qb,Bcl11b,Rhd,Reep2,Mafb,Car1,Ms4a2,Ifit3b,Mafb,Gm35147,Ccr9,Sytl3,Gp1bb,Pacsin1,Sox6,Bcl2a1d
6,Smpdl3b,Hist1h2ai,Hist1h2ah,C1qc,Mt2,Igsf3,Smpdl3b,Hbb-bs,Gm15915,Alox15,Smpdl3b,Eno3,Fgf3,Timp1,Nrgn,Mycn,Atp7b,Slc6a9,Atp1b2,Slc6a9,Cyp11a1,Tppp3,Alox15,Adgre4,Sh2d4a,Dapl1,Cldn13,Exoc3l2,C1qb,Mt2,Atp7b,1700027J07,C1qb,C3ar1,Cox6a2,C1qb,F2rl2,Atp2a1,Slc6a9,Adgre4
7,Mc5r,Hist1h2ag,Hist1h2bk,Saa3,Add2,Atp7b,Bcl2a1d,Hba-a1,Klre1,C3ar1,Adgrl4,Adgre4,Cpa3,Mc5r,C1qa,Mpl,Gm15915,Ackr1,Cpne8,Ackr1,Gata2,Hist1h2ao,Rnase12,Gm21762,Oasl1,Trbc2,Btnl10,Gp5,Dab2,Atp1b2,Atp1b2,Ifit1,Maf,Il4,Pacsin1,Vpreb2,Mmrn1,Sh3bgr,Apol8,Flt3
8,Cd34,Hist1h2af,Hist1h2ai,C1qa,Smim1,Fabp4,Apol8,Tmcc2,Klra8,Cd34,Fabp4,Cox6a2,Ms4a2,Spp1,Apoe,Fgf3,Sh2d4a,Sox6,Car1,Hbq1b,Grm6,Flt3,Csrp3,Sh3bgr,Rsad2,Cd8a,Sox6,Klk1b27,Ecm1,Smim1,Fcer1a,Ccr9,Dab2,Grm6,Pltp,C1qc,Mpl,Cox6a2,Tmod1,Dntt
9,Sh2d4a,Hist1h2ad,Sh2d4a,Dab2,Myl10,Smpdl3b,Dmtn,Hbb-bt,Prf1,Ccl3,Nrgn,Smpdl3b,Gata2,Atp1b2,Eno3,Cavin1,Igsf3,Tmem91,Adgrl4,5430401H09,C3ar1,Hist1h2ag,Stab1,Fabp4,C1qc,Tcf7,Gypa,Klk1,C1qc,Prss50,1700048O20,Adgre4,Stab1,D430036J16,Vldlr,Atp7b,Gp1ba,Klk1b27,Epb42,Ifi205
