,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
10,Hist2h3b,Fn3k,Ifit1bl1,Hist1h2bg,Tppp3,Hist1h2bn,Igsf3,Pklr,Hist1h3d,Hist1h2ao,Aqp1,Hist1h3h,Hist1h4m,Hist1h2bk,Hist1h2bg,Eno3,Klrc2,Bfsp2,Hist1h2bg,Car1,Cpne8,Ifi205,Gm5111,D430036J16,Csrp3,Klrk1,Gm15915,Hist1h3b,Adgrl4,Alas2,Vpreb2,Cxcr5,Hist1h2ad,Gfra2,Slfn14,Cd300c,Ms4a2,Hist1h2ah,Drc7,Apoe
11,Dntt,Phf11d,Tmod1,Hist1h3h,Klrk1,Gm867,Arpp21,Ctse,Hist1h2bn,Hist1h3h,Slc4a1,Hist1h2bg,Hist1h2bg,Hist1h2ad,Hist1h3h,Hba-a2,Klra4,Hist1h2ad,Hist1h2ad,Prss50,Bpgm,Ifit2,Ace,Fcer1a,Cd200r3,Eomes,Cplx2,Hist1h4m,Hist1h2bg,Hba-a2,F2rl2,Bank1,Usp50,Slc38a5,Rsad2,Klk1b27,Gm5111,Hist2h3b,Dlg2,Spic
12,Hbb-bt,Gm867,Irf7,Hist1h4m,F2r,Hist1h2bg,Gfra2,Aqp1,Ace,Hist1h4m,Car1,Hist1h4m,Hist1h3h,Hist1h2af,Hist1h4m,Pltp,Klri2,Hist1h2bk,Hist1h2bn,Pklr,Cxcl10,Slfn5,Mpl,Csrp3,Cyp11a1,Klrc2,Drc7,Hist1h3h,Hist1h2ao,Apol11b,Timp1,Rasgrp3,Hist1h3h,Bcl2a1d,Hbb-bs,Adgre4,Ccl3,Hist1h2ai,Tmem91,Tmem37
13,Hist1h2af,Ifit2,Slc6a9,Hist1h2bn,Ifit1,Hist1h3d,Snca,C3ar1,Hist1h4m,Hist1h2af,Hbq1b,Hist1h3d,Hist1h3d,Prss34,Gm10076,Hbq1b,Klrb1a,Pklr,Hist1h3h,Gm15915,Ifit1bl1,Rsad2,Nrgn,Gata2,Alox15,Ccl5,Dntt,Hist1h2ao,Hist1h2ai,Slfn14,Eno3,Cd83,Hist1h2an,Myl4,F2r,Tppp3,Cyp11a1,Hist1h3b,Sapcd1,Rab3il1
14,Hist1h2ah,Slc4a1,Oasl1,Hist1h3d,Ifit3,Hbq1b,Rsad2,Ccl3,Hist1h4n,Hist1h4n,Tspan33,Usp50,Hist1h2bn,Erh,Hist1h4n,Hba-a1,Fn3k,Hist1h2ai,Hist1h4m,Klrk1,Cd74,Sphk1,Adgre4,Sh2d4a,Il4,Prss34,2900026A02,Hist1h2bg,Ctla2a,Gm5111,Lef1,Cd74,Hist1h2bg,Cldn13,Apol11b,Fabp4,Timp1,Hist1h2bk,Myl10,Lgmn
15,Hist1h2bk,Tmod1,Usp18,Hist1h4n,Fgf3,Hist1h3h,Tmcc2,Gm14198,Hist1h3h,Erh,Ank1,Hist1h4n,Hist1h4n,Hist1h2ai,Usp50,Alas2,Adamts14,Mycn,Hist1h4n,Atp1b2,Ifit3b,Mt2,Tppp3,Smim1,Flt3,Mcpt8,Sapcd1,Hist1h2bn,Hist1h3h,Apol8,Bcl2a1d,H2-Eb2,Hist1h4n,Lef1,Epb42,Myl4,Saa3,Hist1h2ad,Mmrn1,Adap2
16,Hist1h2ag,Oasl1,Alas2,Gm10076,Klre1,Slc4a1,Hba-a2,Sytl3,Ifit3,Hist1h2bg,Gypa,Gm10076,Usp50,Hist1h4m,Hist1h3d,Hbb-bs,Trbc2,Gm4737,Cbr2,Prf1,Phf11d,Pklr,Fabp4,Ms4a2,Slc45a3,Tmem37,Nrgn,Gm10076,Hist1h2ad,Epb42,Mmrn1,Trim7,Hist1h2ai,Vwf,Gypa,Smpdl3b,Csrp3,Hist1h2af,1700027J07,Fcrls
17,Hbb-bs,Slc6a9,Phf11d,Usp50,Oasl1,Fn3k,Dntt,Flt3,Gm5111,Hist1h3d,Spp1,Hist1h2bn,Gm10076,Hist1h2ao,Erh,Slfn14,Thy1,Rab27b,Adgre4,Klrc2,Vwf,Atp7b,Mycn,Hist1h2an,Dntt,Cpa3,Mc5r,Spint1,Hist1h3d,Sox6,Scamp4,Cacna1i,Hist1h4m,Drc7,Slc4a1,Bcl2a1d,Klrb1c,Hist1h2ag,Fxyd6,Cbr2
18,Apol8,Hbq1b,Hba-a1,Erh,Myct1,Hist1h4m,Ube2o,Ifit3,Hist1h2bg,Ace,Stab1,Erh,Erh,Mcpt8,Hist1h2bn,Snca,Tcf7,Hist2h3b,Ace,Klra8,Tent5c,Smim1,Bcl2a1d,Pklr,Lat,Rnase12,Dlg2,Hist1h4n,Vldlr,Snca,Myom1,Il4i1,Cd34,Siglech,Saa3,Eno3,Sytl3,Hist1h2ao,Cplx2,Ecm1
19,Hist1h3b,Dmtn,Hba-a2,Gm4737,Klrb1c,Dmtn,Sowaha,Ifit3b,Usp50,Hist1h2bn,Slc38a5,Rbp1,Mpl,Hist1h3h,Gm4737,Slc4a1,Slc4a1,Drc7,Tppp3,Klra4,Mrvi1,Sh2d4a,Eno3,Hist1h2bk,Grm6,Il2rb,Ace,Erh,Spic,Trim10,Vpreb1,H2-Eb1,Car1,Aqp1,Hbb-bt,Hist1h2ah,Cpne8,Hist1h4m,1700048O20,Mafb
