,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
0,Gm867,Ifit3,Ifit3,Hist1h2ah,Ace,Hist1h2an,Sh2d4a,Smim1,Hist1h2an,Hist1h2ah,Ifit2,Hist1h2ah,Hist1h2an,Gm5111,Hist1h2an,Ace,Klrb1c,Nrgn,Hist2h3b,Il2rb,Ace,Ifit3,Vldlr,Ccl3,Mcpt8,Gzma,Igll1,Usp50,Cbr2,Hbq1b,Spint1,Fcer2a,Gm4737,Sh2d4a,Slc45a3,Siglech,Cd34,Ace,Igll1,C1qa
1,Gm5111,Ifit1,Ifit1,Hist1h2an,Bcl2a1d,Hist1h3b,Bpgm,Pkhd1l1,Hist1h2ah,Hist1h2an,Nxpe2,Hist1h2an,Hist1h2ah,Ace,Hist1h2bk,Tppp3,Il2rb,Myl4,Hist1h2an,Klrb1c,Bcl2a1d,Ifit1,Adgrl4,Sytl3,Prss34,Ncr1,Vpreb1,Hist1h2an,Mrc1,Slc4a1,Cd34,Fcmr,Scamp4,Igll1,Snca,Ccr9,Vldlr,Myl4,Vpreb1,C1qc
2,Hbq1b,Ifit3b,Ifit3b,Hist1h2bk,Fabp4,Hist1h2bk,Tent5c,Slc6a20a,Hist1h3b,Hist1h2bk,Gm867,Hist1h2bk,Hist1h2bk,Hist1h2ah,Hist1h2ah,Adgre4,Klre1,Usp50,Hist1h3b,Mt2,Eno3,Ifit3b,Cd34,Cd200r3,Cpa3,Klra8,Vpreb2,Hist1h2bk,Hist2h3b,Gm867,Nrgn,Ms4a1,Erh,Slc45a3,Alas2,Gm21762,Spint1,Adgre4,Vpreb2,C1qb
3,Dmtn,Ifi205,Isg15,Hist2h3b,Eno3,Hist1h2ag,Vpreb1,Sh2d4a,Hist1h2ao,Hist2h3b,Rhd,Hist2h3b,Hist1h3b,Hist1h2an,Hist2h3b,Ifi205,Ccl5,Erh,Hist1h2bk,Ccl5,Fabp4,Ifit1bl1,Ctla2a,Alox15,Rnase12,Klra4,Gfra2,Hist1h2ah,Hist1h2bk,Hbb-bs,Vwf,Cr2,Gm10076,Vpreb1,Tent5c,Pltp,Mc5r,Fabp4,Arpp21,Dab2
4,Slc4a1,Usp18,Hbq1b,Hist1h3b,Adgre4,Hist1h2af,Igll1,Sh3tc2,Hist1h2bk,Hist1h2ag,Dab2,Hist1h3b,Hist1h2ag,Hist1h2ag,Hist1h2ag,Flt3,Ncr1,Hist1h2ah,Hist1h2ao,Klre1,Ifi205,Usp18,Myct1,Cyp11a1,Ms4a2,Klrb1c,Lef1,Hist2h3b,Hist1h3b,Fn3k,Pf4,H2-DMb2,Hist1h2ag,Ace,Hba-a2,Cox6a2,Flt3,Tppp3,Dntt,Maf
5,Fn3k,Isg15,Rsad2,Hist1h2ag,Slc45a3,Hist1h2ai,Pklr,Abcg4,Hist1h2ai,Hist1h2ad,Hemgn,Hist1h2ag,Hist2h3b,Usp50,Hist1h3b,H2-Eb1,Gzma,Gm10076,Hist1h2ag,Ncr1,Adgre4,Oasl1,Gm19590,C3ar1,Gm11697,Klri2,Bfsp2,Hist1h3d,Hist1h2an,Hbb-bt,Treml1,Ighd,Hist1h2ao,Smim1,Trim10,Klk1,Adgrl4,Eno3,Gm30948,Mertk
6,Stab1,Irf7,Slc4a1,Hist1h2af,Myl4,Hist1h2ah,Prxl2a,Ackr1,Hist2h3b,Gm10076,Kel,Hist1h2ad,Hist1h2ad,Hist2h3b,Hist1h2ad,Bcl2a1d,Eomes,Sh2d4a,Hist1h2ai,Sphk1,Tppp3,Cxcl10,Hlf,Gm35147,Fgf3,Klre1,Slc45a3,Hist1h2ag,Hist1h2ag,Dmtn,Ehd3,Scd1,Hist1h2bk,Eno3,Prxl2a,Pacsin1,Spp1,Bcl2a1d,Gfra2,C3ar1
7,Slc6a9,Ifit1bl1,Gm867,Hist1h2ad,Smpdl3b,Hist1h2ao,Gm30948,Slc38a5,Hist1h2ag,Hist1h3b,Fn3k,Hist1h2af,Hist1h2ao,Vldlr,Hist1h2ao,Smpdl3b,Klrk1,Hist1h2ag,Hist1h2ah,Eomes,Smpdl3b,Phf11d,Flt3,Il4,Fcer1a,Klrb1a,Arpp21,Hist1h2ai,Hist1h2ah,Hba-a1,Igll1,Cd22,Hist1h3b,Pkhd1l1,Bpgm,Ace,Gm19590,Smpdl3b,Lef1,Ms4a7
8,Tmod1,Slfn5,Slfn14,Hist1h2ai,Ifit3b,Hist2h3b,Atp7b,Cd34,Hist1h2ad,Usp50,Dmtn,Hist1h2ai,Hist1h2ai,Hist1h3b,Hist1h2ai,Fabp4,Klra8,Hist1h2an,Hist1h3d,Gzma,H2-Eb1,Isg15,Mc5r,Grm6,Alox12e,Adamts14,Gm30948,Hist1h2af,Pf4,Tmod1,Gp1bb,Pxdc1,Hist2h3b,Vpreb2,Hba-a1,Sh3bgr,Hlf,Cplx2,Bfsp2,Stab1
9,Cbr2,Cxcl10,Fn3k,Hist1h2ao,Ifi205,Hist1h2ad,Vpreb2,Cldn13,Hist1h2af,Hist1h2ai,Spint1,Hist1h2ao,Hist1h2af,Gm10076,Hist1h2af,Cd74,Prf1,Hist1h2af,Hist1h2af,Atp7b,Ifit3,Irf7,Rbp1,Il6,Gata2,Prf1,1700027J07,Hist1h2ad,Hist1h2af,Slc6a9,Ace,Iglc2,Hist1h2ah,Dntt,Tmcc2,Atp2a1,Cpa3,Hist1h2an,2900026A02,Mrc1
