,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
MIR4435-1HG,0.07203288323242345,-0.046529698314604545,0.1753750950352784,-0.8262145845459393,-0.11398314714342897,0.017872146326340852,-0.03914826790539728,0.03511914092742272,0.06715123726681672,0.15039037441118552,0.1356898520164614,-0.01208174824950328,0.006490575442551783,0.07413618883000166,0.027331163922588803,-0.09743522064805306,-0.010398890893921028,-0.061055784406562834,0.03186360818268299,0.1674481332980777,0.013213233393971409,0.04026606742119258,0.0202139179200021,-0.10069704395207749,-0.05311812161378047,0.029486756367768704,-0.023134344139324824,-0.007097225730916149,0.12064601860240748,0.02299725859756634,0.025270202451101488,-0.024762808386840977,-0.10106434189220626,0.19182869227107568,0.09061957756661665,0.19219463685116447,-0.024900795457649564,0.045906359304915434,0.11874000442498406,0.003687543988016802
LINC00152,0.10219456221159276,-0.033990692550921166,0.13625571071838474,-0.817430812575523,-0.0902817026037064,0.0014048244793760502,-0.011105020607516846,0.03550706112272083,0.05784311563023061,0.11593528658179275,0.1334032192264724,-0.013433021521047306,-0.0023243946497482418,0.07881734909848584,0.11222487842124043,-0.12822403857597944,-0.03765416332180387,-0.03532844627337991,-0.016185405918212083,0.17061103701105712,0.07821809072195694,0.07212296481889095,-0.014530710689479358,-0.08228583956895352,-0.021780961173057604,0.07958024248510177,-0.040057858234715825,0.009231189757334274,0.13143903844585836,0.054165034554079575,0.11426308875149596,0.001649560054514919,-0.09539599829238357,0.1851192985421525,0.09448890119588703,0.23336066529226424,-0.030137519817071495,0.07026192282276557,0.046694237075714885,-0.012155298711454043
RP11-291B21.2,0.05609096777468381,0.0455554156814291,-0.06065516128867794,0.014344049339928455,0.08103298498876536,-0.03244491591353266,0.06161329405544838,0.05402041048182081,-0.0379473520632726,0.014084957160340543,-0.09372432545668219,-0.04987143512815513,0.022757010715680547,-0.028735801096256706,-0.1666841788238864,-0.1426021913424033,0.00822644071928504,0.011248855400396978,-0.01264247047949178,-0.03471082072019125,-0.8352618809194213,0.03704788787656718,0.04011485414467943,0.02391124704380562,0.005513235622257579,0.16280796754735738,0.023618109537683275,-0.017478831950226505,0.035338126666857136,-0.003808376410926392,0.1356623952265634,0.0067663498466989545,-0.02641664406786105,0.02718836976022676,0.013756904448689706,0.03441855283114413,-0.01380487353218448,-1.714634391409775e-05,0.017130702020192522,-0.03714693230534043
CD8B,0.0785662196253445,0.021860220794423752,-0.05577511498505386,-0.004087119668832361,0.08379046171847201,-0.0032156679668423295,0.06679866893243139,0.09240965843723319,-0.016006503308942068,-0.019046910224965855,-0.2087324611417205,-0.04326813198567021,0.028085616549456727,-0.011740817338586534,-0.1807582329191544,-0.2499058146968161,-0.021037827238100878,0.017924727744263368,0.041176337146870585,-0.004734920068695664,-0.7892192835390088,0.06850569263386516,0.05403694402392988,0.0020257106182477924,0.0035168670778561143,0.1680410730987221,-0.06037293916799669,-0.01419142232792322,0.060216842233716476,-0.008584061706440313,0.45531608070799956,-0.0011516104482021553,-0.03443363607189601,0.07890737289261623,0.026527088515925605,0.15437357582266242,-0.02552607205228019,0.022178459453605977,0.02659311280010162,-0.10258930297159848
CD8A,0.0779736823512224,0.06733759168022978,-0.017304194168859185,0.019246668660532727,0.10415910687648033,0.0701730581502333,0.06551881623744153,0.07240543482439286,-0.0042158138607862605,-0.015046757554926675,-0.20211803611885282,-0.022415902540625185,0.03480377178555236,-0.005370305213084391,-0.07774599099948958,-0.17661307720963598,-0.031404842072472086,0.014061230689356857,0.0053842593692125015,0.0023137861001337667,-0.49044209572973624,0.0794358842190383,0.053978743975374395,-0.004450462467917359,0.002089731424356695,0.16942542360932178,-0.051914348831600676,-0.015089947316655911,0.05035878048629048,-0.004811626713457597,0.4130465565564082,-0.0011285853483004307,-0.02358607206752793,0.09736185006380313,0.02517558178929356,0.24919079587643042,-0.01866044799936234,0.016625659460566374,0.021127994374161258,-0.07287345281506447
C1orf56,-0.015269285302017481,0.027313447023975982,-0.1117652643975513,0.0076709263780343154,0.0682582566437659,0.06963674577975644,0.048374792942834,0.10141606685238337,-0.006134934186091194,0.02827959054007839,0.05024033449896038,-0.03570711454399688,-0.0027936975524020893,-0.06757156597244496,-0.03494334258301505,-0.04044266581459517,1.0,-0.0004102521617793608,0.03896229663678708,-0.034539967404060415,0.01359318603785944,-0.032083709356864956,0.023233683890115455,0.00013686140103764662,-0.0268472010081372,-0.038931502250452284,0.04176836084472445,-0.015516015540703691,0.010152521958070931,-0.04861102993377378,-0.0237348545255731,0.013812349207126696,-0.010655827380408206,-0.036052828693924045,-0.011528365847751998,0.005790090390230363,-0.028486689912065773,0.0007342337792012695,0.03348719647176032,0.0341887353486029
CDC42SE1,0.02436999675750937,0.023056566756486867,-0.12594372158533998,0.023713773563230647,0.08165697989210015,0.05103758123935911,0.06979770623734012,0.10132619296642588,-0.024386285294601993,0.05615283455471096,0.046953062623955405,-0.041439499702675846,-0.0023142210820358004,-0.056227782550080686,-0.02698901043769408,-0.0426649202461409,0.8392483158980579,-0.02467114970015004,0.05340656568148461,-0.01893899285445521,0.012027546829126629,-0.025741411251625306,0.02916642788424765,-0.009956758735961312,-0.021125803437813936,-0.021116230130594,0.04619847721198045,-0.02756636578530789,0.012617366023264302,-0.045974353938420635,-0.02043351192798815,0.02257419839830467,-0.008321722105330102,-0.007728503373601923,-0.018478221369842385,0.0027029741477738087,-0.0313178309764475,0.002127862680271777,0.026709147182186893,0.04634953900131643
HNRNPH1,-0.08004728366475146,0.0038387451804894265,-0.07912322984041532,0.005780861975572233,0.10306315413718137,0.06672582440503032,0.055180350122751735,0.04760590702162367,0.00437650833334752,-0.0018602502981458755,0.000443295608058469,-0.0710431642525382,-0.008530363496864162,0.046209289993563454,-0.055041403250509796,-0.03643564342646703,0.8213417085303569,-0.04538208138879206,0.023184883612494777,-0.06474936581092934,-0.013538677955073684,0.020923718212757066,0.02593830406103109,-0.008459127505285066,-0.03413617780038917,-0.004041919730419673,-0.009737093859509452,-0.05886650826621613,-0.001511416169903028,-0.018666825909798644,-0.01079944323751969,-0.010668028171386937,0.005602762348086741,0.017033294808398453,0.016483408286970484,-0.03949591248418059,0.016571937105147608,0.009934835964512197,0.017328400680816654,-0.006713205397189913
MDM4,-0.10725717742273787,0.01373891315977244,-0.04738857395387912,-0.0021647581050398303,0.014251343853483957,0.024449557625113607,0.07627605501431746,0.08011944118527864,0.04757065360321916,0.015481159568426677,0.030689806864372393,-0.06381114796910474,-0.02543650863265883,0.05084432105680116,-0.08467802008180914,-0.0832806711184178,0.60449743468788,-0.04132863278406354,0.01900361049474863,-0.03881620245548829,-0.009887082936548804,0.007802581106109216,0.0033414008076435844,-0.003930626823890005,-0.03257000972360227,-0.011902551356301493,-0.016830455752889804,-0.02639515680466456,0.017896149150987785,0.004431818186615568,-0.037367183702251235,-0.0014366029598733617,0.06515116459010001,-0.03438665379575472,0.026824240332177524,-0.034762528696730605,0.03420053576446056,-0.044226910505055984,0.012696623985520973,-0.008194429981572356
RPL21,-0.08992354372515687,-0.07592279714182124,0.018603249012112185,0.07678851633839877,-0.027277718357523337,-0.0825594884377393,-0.26484251275664117,-0.0475710669032864,-0.0449922781631629,-0.1533879542181767,-0.03932478901460456,-0.09085587280592097,0.022285740192301524,-0.1057731059634941,-0.11691779819720935,0.11517133151542497,0.031990969161093584,0.03628609408288575,-0.08696419838895318,-0.15456860297519862,-0.22194298693219433,-0.14037766334944815,-0.010743306025387525,-0.08382529720123072,-0.029690691258899848,-0.34167423175119166,0.015949865064043233,0.039848441013888576,-0.09210087509758666,-0.05793232831100207,-0.01160572105277457,-0.14557122915273057,-0.04962519552234406,-0.10116897413946196,0.03733151987317817,-0.11738891708736189,-0.01617760459541039,-0.181963483605811,-0.06475157187932033,-0.13922119635668026
