,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
22,ADORA3,LAD1,ALOX15B,CCL3,GZMB,SLC1A2,PTGIR,SLC27A2,EGFL7,CCL19,TK1,SP140,CD70,SAMD3,IKZF2,NDFIP2,MTMR11,CD79A,LAG3,MAL,CRABP2,CXCL11,CIITA,BIRC3,RP11-753H1,TNFRSF13B,GBP5,E2F1,FXYD2,SLC40A1
23,GPR34,CPEB1,TNFSF4,SLC30A3,C12orf75,TNFSF15,MT1E,FAM117A,CTSW,GCSAM,KIAA0101,IGJ,TEX9,NES,CD70,TPSAB1,CDT1,MT1M,TNFRSF9,LAD1,LAMP3,NDFIP2,IKZF2,SLC1A2,CXCL10,NREP,IL2RA,PNOC,CXCL11,TPSAB1
24,SIGLEC1,TVP23A,DSG2,TAGLN3,KLRB1,RARRES2,CXCL9,CD34,PRKCQ-AS1,TAGLN3,CDK1,CD27,TCF4,KLRD1,LAMP3,AC017002.1,PTGIR,TNFRSF13B,CCL2,NCCRP1,GZMB,IDO1,LEF1,CD27,CXCL11,FXYD2,TNFRSF13B,CD70,TVP23A,RAMP1
25,ID3,GPR157,ENHO,SORBS1,CD2,TNFSF10,GPR34,TNFRSF25,SELL,GRIN1,KIF23,TCF4,FCGR1A,CD247,GPR157,FSCN1,GINS2,MS4A6A,IL2RA,CRHBP,RSAD2,MT1M,FLT3,RAMP1,FXYD2,BLK,ICOS,ID3,E2F1,EBI3
26,GZMB,LEF1,CBR3,BANK1,CD96,IL2RA,MS4A6A,ITM2A,TESC,CXCL9,CD70,HLA-DOB,ZBED2,FXYD2,STMN1,CCNB1,E2F1,ADORA3,C1QA,ALOX15B,GPC4,GBP4,BCAS4,AC006129.4,SERPINF1,ENHO,BANK1,LAD1,TNFRSF13B,CRHBP
27,PRF1,NCCRP1,DUSP4,ANKRD22,CD3D,PTGIR,TRIM54,MYB,DUSP4,CST7,KIF11,LOR,ANKRD22,GAL,CCL19,CDT1,IL32,S100A16,KLRC1,ITGB8,GZMH,NCCRP1,RNASE1,GZMK,CXCL9,CD79B,IGJ,INHBA,AC006129.4,HIST1H1B
28,KLRC2,TSHZ2,LXN,CD79A,SH2D2A,MT1H,LAG3,TK1,NELL2,IL32,ASPM,HLA-DQA1,HLA-DOB,C12orf75,IRF4,NFE2,CIITA,AL928768.3,TVP23A,SCN11A,TVP23A,CXCL10,FCGR1A,PTGIR,SORBS1,CPEB1,TIE1,KIAA0101,CD19,MT1X
29,NKG7,MAL,CXCL1,INHBA,SPOCK2,CRABP2,CD163,PRKCQ-AS1,TNFRSF9,PASK,RP11-693J1,TCF19,HMMR,IL32,MYB,CXCL10,SH2D2A,GPR34,PTGIR,CDCA8,SORBS1,RAMP1,PIK3IP1,ZBED2,TYMS,AL928768.3,SCN11A,PKIG,CIITA,HDC
30,CCL3,NELL2,SORBS1,CXCL10,OCIAD2,EBI3,MT2A,TPX2,TPSAB1,PNOC,NUSAP1,CDCA7,IRF4,LRRC26,PASK,CDC20,VMO1,CD163,SIGLEC1,NELL2,LTA,ANKRD22,GAL,CCL22,SELL,ITGB8,TNFSF15,COBLL1,FAM117A,SCN11A
31,CXCL3,ITIH3,CXCL5,ITGB8,LAG3,PTPRS,CXCL3,NELL2,SH2D2A,LAG3,CENPF,FAM111B,LOR,AC017002.1,CST7,NREP,TNFSF10,CXCR3,IL32,MTMR11,SLC1A2,THBS1,PRF1,CD3D,E2F1,TCF4,CD19,RRM2,LOR,PBX1
32,CCL4,FLT3,IL7R,ENHO,BCL11B,LTA,IFNG,IL2RA,CXCR3,GIMAP7,HIST1H1B,PASK,MKI67,GREM1,CXCR3,TNFSF4,CD2,MS4A1,GZMB,GCSAM,S100A16,MT1E,POGLUT1,FAM131C,NFE2,SLC1A2,MT1H,MCM7,PNOC,GATA2
33,FXYD2,PIK3IP1,TVP23A,VPREB3,ITM2A,MT1F,ANKRD22,MAL,KLRC1,NRXN2,TNFRSF13C,HLA-DOA,CENPE,MT2A,PKIG,CXCL11,HLA-DOB,SLC39A8,TSPAN15,HDC,CCL22,SH2D2A,RP11-753H1,AC017002.1,CPNE6,FBN1,COBLL1,TCF19,COBLL1,TCF4
34,GZMA,ADAMTS2,NDRG2,CXCL1,GIMAP7,NRXN2,RP11-753H1,LINC00176,TVP23A,ZBED2,TOP2A,MKI67,CCL17,KLRB1,LAD1,CCND1,CD40LG,NES,IFNG,TVP23A,GADD45A,STMN1,LINC00861,CXCL10,GINS2,RARRES2,MT1G,NELL2,CD27,TPX2
35,CXCL5,POGLUT1,SLCO5A1,RP11-753H1,HOPX,MCM7,KIAA0101,CCNB1,NRXN2,CD3D,HMMR,DUSP4,HLA-DQA1,SORBS1,NDRG2,GAL,SERPINF1,MT1F,ICOS,AC007880.1,GPR157,SLC1A2,CRABP2,MT1E,PRSS57,TAGLN3,NDFIP2,RAMP1,CD40LG,PRSS57
36,CCND1,TCF7,TAGLN3,MS4A1,CD27,CCL3,SLC30A3,PBX1,FXYD2,TCF19,COBLL1,C12orf75,PASK,PNOC,EBI3,DSCC1,AC017002.1,CCL2,NELL2,EGFL7,OCSTAMP,UBD,TMEM204,CD40LG,NDFIP2,VPREB3,RSAD2,GREM1,TSPAN13,CDK1
37,VPREB3,TNFSF4,TK1,CXCL9,IL7R,CDT1,CTSW,LEF1,GZMA,RP11-753H1,CD19,SELL,APOL4,ASPM,FAM117A,KLF1,ANKRD22,BLK,SELL,MT1E,TNFSF15,HMMR,GZMA,CYP27B1,ANKRD22,CBR3,TNFRSF13C,AL928768.3,CXCL3,KIF11
38,FGFBP2,SLCO5A1,GBP1,TNFRSF13B,TNFRSF25,CIITA,SIGLEC1,ICOS,ZBED2,TNFRSF25,FAM111B,IRF4,TSHZ2,IGJ,RP11-693J1,CYTL1,ALOX15B,TNFRSF17,HLA-DOB,S100A16,ETV7,CD79A,PLK1,LTA,ZBED2,TIE1,SELL,CD19,MS4A1,STMN1
39,CD163,CAMK4,IDO1,GPR157,CAMK4,MT1M,TESC,CD40LG,LINC00176,LRRC26,CD27,HMMR,PLK1,CD2,CPNE6,HMMR,ZBED2,GPC4,CD3D,MT1X,CD96,MT1F,TSPAN15,KLRC1,YES1,ITIH3,ANKRD22,TNFRSF13C,TCF4,CXCL9
40,APOL4,SELL,KIAA0101,CIITA,LTB,E2F1,ETV7,TESC,KLRB1,LTB,CDCA7,EBI3,CCNB1,CENPF,CDT1,KIF23,UBD,C1QA,LTB,LINC00861,NDRG2,FCGR1A,ADORA3,CST7,UBE2C,PNOC,MT1M,RP11-693J1,TNFRSF17,MYB
41,GZMH,LYPD3,TSHZ2,TIE1,PIK3IP1,TCF19,HOPX,TMEM204,KLF1,FCGR1A,CENPE,GINS2,ETV7,PTPRS,NES,ETV7,LTB,MT1X,GCSAM,DSG2,LAG3,TVP23A,FAM117A,GPR34,CDT1,COBLL1,OCSTAMP,PYHIN1,CD79A,RARRES2
42,CD79A,VPREB3,TCF7,BIRC3,CENPF,GBP4,CXCL5,CDCA3,CRHBP,CXCL10,CDCA8,KIF23,PKIG,HDC,SORBS1,CRHBP,CDK1,HOPX,SH2D2A,TMEM204,IFIT1,MS4A1,MS4A6A,IL7R,KLF1,PTPRS,CCL4,CBR3,CD79B,KIAA0101
43,GBP5,VMO1,CDK1,TRIM54,IKZF2,ZBED2,FSCN1,TSHZ2,LOR,RP11-693J1,GINS2,FAM131C,KIF23,CCNB1,CDCA3,PRSS57,IFNG,ADAMTS2,LINC00861,RAMP1,TSHZ2,BIRC5,OLFML2B,GPR157,PTPRS,SPIB,EPSTI1,FAM111B,EGFL7,CDCA3
44,CST7,CD79B,EMID1,TNFRSF17,TNFSF10,GAL,CXCL1,TCF19,NFE2,VMO1,IGJ,CCNB1,DUSP4,CRABP2,TLR10,AC006129.4,HAPLN3,THBS1,CD2,CDCA3,IL2RA,AC006129.4,CCNB1,LAG3,TSPAN13,LRRC26,IDO1,CCL22,MT2A,NFE2
45,EOMES,INSM1,ITM2A,SIGLEC1,TYMS,MT1G,OLFML2B,CDCA8,PASK,IL7R,DSCC1,RRM2,HOPX,YES1,HOPX,HOPX,CTSW,GAL,TNFRSF25,KLF1,ITGB8,PKIG,ADAMTS2,GRIN1,GRIN1,MS4A1,BLK,NXPH4,CRHBP,EMID1
46,CXCL10,GCSAM,MCM7,RSAD2,LINC00861,MT1E,TYMS,PASK,RAMP1,OCIAD2,AL928768.3,OCIAD2,CIITA,GZMB,RP11-753H1,RP11-753H1,ITM2A,CXCL3,LEF1,CXCL5,BIRC3,ZBED2,COBLL1,TNFSF4,CYTL1,TEX9,SPIB,TYMS,UBD,PTGIR
47,KLRD1,TIE1,STMN1,IFIT1,UBE2C,CXCL3,CDT1,CRHBP,TMEM204,CAMK4,GTSE1,CCL17,HLA-DOA,CD3D,TRIM54,OLFML2B,DSCC1,GREM1,CYP27B1,MT2A,VMO1,TEX9,GIMAP7,CD2,RARRES2,YES1,SIGLEC1,UBE2C,GBP1,LRRC26
48,MT1F,AC017002.1,FLT3,TCF4,PRKCQ-AS1,GZMB,CIITA,CD3D,FLT3,POGLUT1,TPX2,PTPRS,IFIT1,CD96,CRABP2,TPX2,AC006129.4,NXPH4,TSHZ2,BCL11B,AK8,UBE2C,AC017002.1,CXCL1,IFIT1,IGJ,AL928768.3,ADAMTS2,EPSTI1,CDCA8
49,PNOC,CCL3,CCL22,CD70,TCF7,GRIN1,GATA2,MT2A,SERPINF1,CD2,BIRC5,ZBED2,IDO1,MT1F,CXCL9,TOP2A,CD3D,PASK,SLCO5A1,TNFRSF25,ZBED2,MCM7,MT2A,CIITA,CD34,TK1,CD70,KLRB1,BCAS4,TK1
