,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
0,RNASE1,SLC1A2,INHBA,NDRG2,NKG7,NDRG2,GNLY,TPSAB1,TK1,CALCRL,MS4A1,MS4A1,MS4A1,FGFBP2,FXYD2,MT1G,LTA,FXYD2,CXCL10,CCNB1,CPNE6,GINS2,LXN,FCGR1A,C1QA,TPSAB1,SLC30A3,MS4A1,FCGR1A,CD163
1,RP11-753H1,INHBA,TNFSF15,CCL4,GNLY,HOPX,GZMB,PRSS57,E2F1,PTGIR,CD79A,CD79A,CD79A,NKG7,SERPINF1,MT1H,MT1X,PTPRS,GBP5,GADD45A,NES,TK1,SLC30A3,ANKRD22,MT1G,PRSS57,KLF1,TNFRSF13B,GBP5,ADORA3
2,TAGLN3,CCR7,CCL4,HOPX,CCL5,CPNE6,GZMH,GATA2,TYMS,NCCRP1,TNFRSF13B,CD79B,TNFRSF13B,CCND1,RARRES2,MT1M,SLC39A8,PNOC,CXCL9,SLC40A1,ENHO,LTA,MT1G,IDO1,MT1H,GATA2,GINS2,BCAS4,CXCL10,MS4A6A
3,TRIM54,BIRC3,CCL3,CYP27B1,FGFBP2,SORBS1,KLRC2,MCM7,KIAA0101,SERPINF1,CD79B,TNFRSF13B,BANK1,GZMK,CALCRL,MT1X,MT2A,LRRC26,ETV7,CDC20,ITIH3,IL2RA,LINC00176,APOL4,MS4A6A,EGFL7,GAL,CD79A,MT1G,RNASE1
4,CCL2,CBR3,OCSTAMP,SLC1A2,KLRD1,ENHO,MT1G,SLC40A1,GINS2,RARRES2,BANK1,BANK1,CD79B,NXPH4,TSPAN13,MT1E,MT1F,CPNE6,ANKRD22,ITIH3,TIE1,KIAA0101,AC007880.1,GBP5,ADORA3,SLC40A1,CD79A,CD79B,CCL2,MTMR11
5,THBS1,GADD45A,GADD45A,AK8,GZMA,CYP27B1,PRF1,KIAA0101,DSCC1,LYPD3,AC006129.4,BLK,BLK,CCL5,PNOC,MT1F,MT1G,IGJ,FCGR1A,CPEB1,TNFSF4,DSCC1,MT1H,CCL2,CD163,EMID1,INHBA,TNFRSF17,HAPLN3,GPR34
6,SLC30A3,LAMP3,ITGB8,CPNE6,GZMH,FSCN1,MT1H,LTA,RRM2,HLA-DQA1,BLK,VPREB3,TNFRSF17,CXCR3,SPIB,MT2A,C1QA,TIE1,APOL4,CBR3,TRIM54,CDT1,GNLY,CCL4,OLFML2B,NFE2,MS4A1,AC006129.4,MT1F,ADAMTS2
7,TIE1,TNFSF15,FAM131C,ALOX15B,CTSW,NES,NKG7,DSCC1,TCF19,UBD,TNFRSF17,AC006129.4,AC006129.4,GNLY,PTGIR,SLC39A8,HLA-DQA1,CRABP2,HAPLN3,MT1H,FBN1,E2F1,S100A16,MT1H,MT1M,CYTL1,GBP1,CD27,MT1H,OLFML2B
8,NES,ITGB8,CCR7,PTGIR,PRF1,RP11-753H1,MT1M,GINS2,CDT1,LOR,MKI67,BCAS4,VPREB3,GZMH,HLA-DOA,CCL2,NDRG2,SERPINF1,GBP1,MT1G,CCND1,RRM2,MT1M,GBP1,MT1E,HDC,SLC1A2,BANK1,ANKRD22,C1QA
9,FCGR1A,ALOX15B,AC017002.1,FCGR1A,GZMK,AK8,GZMA,CDT1,CDCA7,TSPAN13,BCAS4,TNFRSF17,BCAS4,GZMA,HLA-DQA1,CXCL5,MT1M,TRIM54,CXCL11,PLK1,SLCO5A1,DUSP4,MT1E,ETV7,GPR34,FAM117A,CCND1,TEX9,MT1M,THBS1
10,CPNE6,ENHO,AK8,ETV7,SAMD3,TRIM54,MT1X,STMN1,FAM111B,SPIB,UBE2C,SPIB,TLR10,EOMES,PTPRS,CXCL1,EBI3,TCF4,GBP4,FBN1,DSG2,MT1H,CENPE,ITGB8,MTMR11,KLF1,MT1E,GINS2,CXCL9,ALOX15B
11,S100A16,FAM131C,VMO1,CCL22,CLIC3,TAGLN3,RNASE1,CDK1,MCM7,FXYD2,TEX9,TLR10,SPIB,NDRG2,LRRC26,RNASE1,MCM7,NDRG2,TNFSF10,CCR7,CBR3,CDCA7,MAL,IL2RA,MT2A,MED12L,IRF4,LOR,GBP4,MT2A
12,CRABP2,IDO1,SLC1A2,GBP5,KLRC1,SLC30A3,FGFBP2,E2F1,STMN1,TSPAN15,SPIB,PKIG,PNOC,NREP,TSPAN15,TSPAN15,IL2RA,RARRES2,IDO1,TPX2,HOPX,HAPLN3,KLRC2,ALOX15B,LRRC26,CD34,CD79B,BLK,ETV7,FLT3
13,AC007880.1,FBN1,EBI3,EBI3,CST7,CBR3,CCL2,EMID1,CD34,CIITA,VPREB3,CD19,SP140,KLRC2,GRIN1,NDRG2,CCNB1,TSPAN13,EPSTI1,FAM131C,RP11-753H1,CDK1,MT1F,SLC39A8,CCL19,MYB,GREM1,CDCA7,AC017002.1,PIK3IP1
14,SLC39A8,EBI3,ITIH3,APOL4,CXCR3,CCL22,SLC39A8,NFE2,TEX9,HLA-DOA,PKIG,TEX9,TNFRSF13C,PRF1,LOR,GATA2,GBP4,RNASE1,RSAD2,MT1M,TAGLN3,PTGIR,SLC39A8,LAMP3,GATA2,FAM131C,VPREB3,TNFSF15,SLC39A8,SERPINF1
15,CXCL1,GPC4,CXCL3,IDO1,NXPH4,OCSTAMP,MT1F,UBE2C,CDK1,FSCN1,PNOC,TNFRSF13C,COBLL1,CTSW,RAMP1,CBR3,MT1H,SORBS1,IFIT1,PRSS57,NREP,MT1G,TSHZ2,GCSAM,LTA,PKIG,RP11-693J1,OCSTAMP,TNFSF10,SIGLEC1
16,CIITA,AK8,CPEB1,THBS1,GZMM,CCL4,FCGR1A,KLF1,CYTL1,HLA-DOB,RRM2,PNOC,CD19,GZMM,CIITA,ITGB8,CCL2,GRIN1,LTA,CENPE,GAL,TNFRSF9,MT1X,DUSP4,IL2RA,AC007880.1,LTA,CCL3,NDRG2,CENPE
17,MS4A6A,CYP27B1,FBN1,CXCL3,CD247,TIE1,CXCL10,TYMS,SLC27A2,IL2RA,TLR10,ID3,ID3,MT1E,TCF4,SLC40A1,CXCL3,MT1G,CIITA,LTA,AC007880.1,GATA2,GPR34,MT1M,RNASE1,CRHBP,POGLUT1,DSCC1,APOL4,PRC1
18,GNLY,CCL22,LAMP3,LAMP3,PYHIN1,INHBA,THBS1,CYTL1,GATA2,CCL17,ID3,RP11-693J1,RP11-693J1,CLIC3,IGJ,CYP27B1,MT1E,SLC30A3,CD40LG,EMID1,CCR7,FAM111B,SELL,EBI3,ADAMTS2,PBX1,GBP4,S100A16,MT1X,KLF1
19,GREM1,OCSTAMP,CYP27B1,GBP1,KLRC2,NDFIP2,ADORA3,EGFL7,AC006129.4,IDO1,SP140,COBLL1,AL928768.3,KLRC1,HLA-DOB,CXCL3,FCGR1A,MT1H,HLA-DOA,BIRC3,LXN,LOR,C1QA,FLT3,TPSAB1,S100A16,CCL3,VPREB3,CXCL1,CALCRL
20,GAL,DSG2,LAD1,VMO1,EOMES,SERPINF1,CCL4,HDC,MED12L,CD70,TCF19,AL928768.3,IGJ,GPC4,FSCN1,SLC1A2,TNFRSF9,VPREB3,UBD,TSHZ2,SLC30A3,TCF19,CXCL1,CCR7,MT1X,RP11-753H1,TSHZ2,CCL4,LTA,LYPD3
21,ANKRD22,MTMR11,BIRC3,GBP4,IL32,FXYD2,KLRD1,BIRC5,LRRC26,IKZF2,TYMS,CD70,CD27,PYHIN1,NRXN2,TIE1,TCF4,CD79B,CCL19,NREP,AC017002.1,CXCL9,TAGLN3,C1QA,SIGLEC1,GADD45A,CXCL10,CRABP2,IL2RA,NUSAP1
