,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
MT1G,0.04471243870730397,0.27068307866872443,0.31792497073631637,0.23500234399355685,0.18868497917445679,-0.04527741788793919,-0.2814919051525081,-0.1931281567955978,-0.008413973896268006,0.11009980509817482,0.011591068641409021,0.011693494907860333,0.015956134772544976,-0.036330683816179786,0.01790320084081324,-1.0,-0.12660575447802588,-0.059134909076887635,0.011395037571941371,-0.2773912622270496,0.38698144452977573,-0.2584730762667958,-0.2440523486104535,0.10054793801335643,-0.4936852533964412,0.14260152629178427,-0.15054447687082845,0.027300342714198622,-0.24409901898473726,0.10565471048159249
MT1H,0.10954837237671201,0.12556382632117136,0.26201914092805445,0.11634142723027606,0.18918776331894013,-0.06876742321649079,-0.2614302485296558,-0.2064355821212514,-0.010279493351417805,0.12058822091692771,0.0017471797792613082,0.0026656161263921793,-0.0022939652221131666,-0.043016835450152946,0.016102551671529373,-0.9653466144559523,-0.09051815831610546,-0.05401216062511266,0.002895987414731937,-0.28811996309094834,0.34294413161823384,-0.30515710288641046,-0.20522745852792112,-0.10680577480652641,-0.48912330280322347,0.10360020069976474,-0.15787082324035903,0.008207394349757067,-0.21673616288820124,0.08486037135445053
MT1M,0.1509365299455919,0.09371196921538259,0.2137936592769342,-0.001141412355358682,0.14445788294351145,-0.052804213483256965,-0.20129930810815,-0.10882633153289235,0.01457785641144952,0.0994007297761699,0.010304567936699307,0.0010447232170086751,-0.012819176094267153,0.0012903858518688563,0.012686782715127482,-0.7803668952216708,-0.1025936635607989,-0.042722987787709665,-0.004188065054602112,-0.23561668378774941,0.3395880524194567,-0.19714523384422333,-0.182944510435971,-0.07661907926024257,-0.33579686441299184,0.09536682078848377,-0.1344742174042272,-0.05372252809167663,-0.2001862731124784,0.06991537104572061
FCGR1A,-0.6160243685626974,0.528067266926458,0.18098376099179936,-0.4207094824531582,0.04364312989522217,0.256750287320526,-0.15104921583418912,0.6085612984634351,0.28726673784694995,-0.08857070029443623,0.430714848720461,0.0872781789609618,-0.11433525062689515,0.018349230161092026,0.03290934647342114,0.03274782465372284,-0.08722613843925632,-0.006275876193411364,-0.36234577984335453,0.07355187471672671,0.14049836566603469,-0.15051224475835115,-0.08878040930699675,-0.23509257001792302,-0.00365552815314117,0.01902400998751146,-0.04332886332169072,-0.004658473577189643,-0.2837309122219734,0.0894313433885353
ANKRD22,-0.35801792466598886,0.26614958042106696,0.08835696191140835,-0.2427816917785984,0.0514180329722259,0.0858756780139834,-0.0828300811200261,0.3773381017435671,0.20072801642339136,-0.04969656671716884,0.43593849548600205,0.09819828944330938,-0.09469373208856552,0.09670736539844024,0.02588755575931626,0.015517291347524673,-0.04369832043209937,0.019885569275986184,-0.37768222672548607,-0.007354359077639469,0.10356745033813372,-0.18103804709781185,0.05906218949937487,-0.23036528303695214,-0.09549659781729146,-0.009734525835862408,-0.13468710194254338,0.3640019047465524,-0.21576288207271493,0.04854885929999025
APOL4,-0.21268865105712656,-0.04700517605026677,0.10131447897976177,-0.34480306717407894,0.03219578483856955,0.013986686992889442,-0.042571826536990084,0.5232861176902455,0.30793069251187916,-0.010448818267658352,0.4352764421344287,0.10891432509672255,-0.06111479711122451,-0.03176535946397601,0.027689851181749065,0.020246753980745734,0.004194886958680534,-0.0070831508609475865,-0.29893719937878366,0.09420094519253881,-0.161965470885039,0.029120308679755017,-0.010071436475087958,-0.16343277665117012,0.0773848719475395,0.007239391461944017,-0.06084035717464964,0.509327198508946,-0.13534684078020057,0.018740684773085818
GBP1,-0.04070857406394541,-0.027935135340325913,-0.13181614512075582,-0.300916410842983,0.06105790900390435,0.05531682522794408,0.0009755283114424677,0.6741898262194289,0.31021410657541904,0.05936178953830133,0.4573758041173413,0.12171259240893598,-0.020502734468861174,0.02269204749344851,0.0663338539395804,0.04038527072513363,0.0035113969855736053,0.0797448127225458,-0.27065814132415117,0.2121949378647065,-0.05985492105122898,0.00387921438869931,0.09347850777167546,-0.10372804703276678,0.4138473905573233,0.1447869684631746,-0.2846801041847406,0.23482210117547014,-0.06650323097821767,0.07509868253365823
ETV7,-0.13360664204418743,0.024766426029933022,0.11485932352601048,-0.3856445283931266,0.03883822405319947,-0.0015061835067020093,-0.07564717350965126,0.6748653692400608,0.35710647273771123,-0.05281270188243764,0.5751282042176454,0.13075658079020702,-0.057765453150594365,0.05588187415440806,0.041479347101070915,-0.01594733324199157,-0.012472914162064403,0.05014957017797725,-0.378414422605664,0.3799621865604948,-0.20331695548367584,-0.09610624306462891,0.05292649769749242,-0.10294499463774129,0.10539908195218042,0.24740382876297964,-0.09014567340596227,0.07505588080563859,-0.15589366423092169,0.0413644035660031
GBP5,-0.1815453850766829,0.04072447137281147,0.09189343296224742,-0.37956769134961976,-0.0772790759032687,0.034603262899619354,0.029866472044109353,0.702469699642171,0.4880093710414302,-0.056055604380455495,0.7784207898556474,0.22413078302302694,-0.0006827155981238774,0.08536641615299077,0.07005457556091355,0.038840806460889915,-0.028300191164009655,0.059782527477094616,-0.4658204192642204,0.27884577334141325,-0.05744748850824728,0.047885078132912665,-0.014441917914733118,-0.16240368979809622,0.16614472299175242,0.3014720395705731,-0.18687258941477425,0.32492493841807724,-0.26695844142441305,0.05305879825542945
CXCL9,-0.026550054825281638,-0.0010988654058319484,0.17629937621474534,-0.18735730817687526,0.08201077262285189,-0.01091510762959529,-0.10469482564035144,0.5211148215641237,0.24987849939561052,-0.12180420788354007,0.8418112327209786,0.28721185585334685,0.23373190578750874,-0.01196341204724157,-0.02712667433390548,-0.010878944526634663,-0.020331075090848135,0.1096192214442974,-0.3963526320530213,0.5027840313027457,-0.08059404918170932,-0.21696365524113326,0.07430078281622281,0.042664219369623634,-0.11802873169070228,0.20663019655328727,-0.0809705309612523,0.6776119893115089,-0.16003975161322984,-0.010723144214432882
CXCL10,-0.1766440113114745,0.06048502601141525,0.2064346203788516,-0.2261829233024496,0.0789969738331922,0.010742633744591432,-0.12936332362585995,0.5681660061881822,0.27474852242690523,-0.08835162593748513,1.0,0.3143911190025073,0.19837774395342608,-0.016003959375052952,-0.002595277627797352,-0.021089584533786104,-0.021511743789943576,0.06632596781164857,-0.5633284820825487,0.47606308829010396,-0.02341677606010156,-0.1836563064337895,0.07977124157584303,-0.04899958795469707,-0.14204234972903845,0.1860528451206595,-0.19384221530535511,0.5805525910967425,-0.24636026597852448,0.01366596758810371
CXCL11,0.02359465323816326,0.11746619800797062,0.15879081670900866,0.19156396527558645,0.05076051645491324,0.013509488721600536,-0.057481659909802654,0.15774301468104304,0.04785572286572345,-0.05954832534259339,0.662863187815087,0.2530525515249329,0.3250927176297387,-0.00963035101058043,0.004258355662605051,-0.01912479048230887,-0.01885403725832412,0.05709423751179879,-0.25952575845741466,0.41642211860392403,-0.10691578428838437,-0.21104141164086962,0.05937601534808857,0.0888673573342786,-0.13954169082407572,0.14925838374580644,-0.029135153725657784,0.748293342823807,-0.1141013975966273,0.00346409515766259
TNFSF10,0.18796718283100633,-0.017963638747563418,0.0768606493490684,-0.045874118622578695,-0.17158247302748195,-0.0737385179061027,0.026570019450160114,0.15029051761447676,0.1495880879470565,-0.0782261782902656,0.49039763207881526,0.18226764945737575,0.1798702400107877,-0.00606129876048986,0.03995401280519981,0.01866400742530197,-0.053177832627590384,0.0673343746538281,-0.22205737320826563,0.3165423413302189,-0.10731641712062795,-0.018993252978524434,0.19220892247301283,-0.031796579158352704,0.10986533152212528,0.31974372671606527,0.03507573358957543,0.46433911061645816,-0.13591325543851457,0.030009429671156104
GBP4,0.09512956744059538,-0.08639568061197303,-0.045701100848263,-0.27772288000701734,-0.03520866452781937,-0.04590090361044068,0.08865939909240246,0.09084905436856294,0.2725021833569516,-0.040881077337405106,0.629819896835081,0.20939993477782987,0.21311722796293206,0.11087288764958066,0.053342496584512025,0.023734110811649247,-0.09442354483092857,0.11008957149974483,-0.2321094182971511,-0.04575912298681839,0.010814489034660047,-0.19247376831064408,0.10215635038211764,0.0565282858890455,0.1982462903701185,0.16399584776421164,-0.19812916078310727,0.3716986537471754,-0.15806202138614772,0.06949287527651778
HAPLN3,-0.01014147611725894,0.09436993244656806,0.03544773140824484,0.17904580018623764,-0.03609685526316756,0.002448512939308098,0.07743863084100719,-0.10981426003228732,0.2526789178362808,-0.061278051131033455,0.643739567484492,0.23118570563834395,0.20289210742699193,0.035511010430032616,0.026379748508779395,0.013064434168672553,-0.03765297366170181,0.08491587852748994,-0.27684385940948525,-0.0783581764549955,0.060289502423350995,-0.28463258066542774,-0.03488518304534172,0.004525476540676144,-0.011890411203617742,0.19755410041012225,-0.06834561164583393,0.1907507315152378,-0.22857056354572938,0.04322263735048696
