,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
0,TNFSF15,TK1,MT1G,INHBA,CCL4,CRIM1,TK1,GNLY,NDRG2,SLC28A3,UBD,TYMS,MS4A1,FXYD2,MT1G,APOL4,GP1BA,FXYD2,FCGR1B,LXN,GZMH,IL2RA,GCH1,CXCL10,PID1,FBXO15,MS4A1,GBP5,C1QA,CD163
1,RP11-236B1,ASF1B,MT1H,SLC1A2,NKG7,NDRG2,TYMS,GZMH,HOPX,CCND1,NCCRP1,UBE2C,CD79A,SERPINF1,MT1H,FCGR1A,MT2A,CPNE6,ANKRD22,MPO,CHEK1,LTA,CD79A,GBP5,CD14,CD200R1,TNFRSF13B,CXCL10,C1QB,ADORA3
2,GDF15,TCF19,CXCL5,RP11-81H14,F3,SPARC,RRM2,GZMB,IGFBP6,MYBPH,PTGIR,KIAA0101,CD79B,CALCRL,MT1M,ANKRD22,MT1G,PTPRS,FCGR1A,FFAR4,GNLY,KIF21A,MS4A1,ANKRD22,CTD-2319I1,SPARC,CD79A,FCGR1A,CD163,MS4A6A
3,RGS16,TYMS,CCL2,CCR7,TNFSF15,BHLHE41,ASF1B,PRF1,CPNE6,TM4SF19-1,CALCRL,MKI67,BANK1,RARRES2,MT1X,GBP5,MT1M,TIE1,APOL4,CD14,EOMES,ZBED2,THBS3,FCGR1A,PROC,RP5-943J3.,BCAS4,MS4A1,MS4A6A,RNASE1
4,INHBA,CLLU1OS,CXCL3,TNFSF15,OCSTAMP,SOD2,KIAA0101,KLRC2,RASL10A,TM4SF19,AOC1,RRM2,TNFRSF13B,TSPAN13,MT1E,ETV7,MT1H,PNOC,SECTM1,CCDC34,COL6A1,RP11-22P6.,IL2RA,ETV7,LXN,AF165138.7,CD79B,CD79A,ADORA3,MTMR11
5,MTMR11,VMO1,INHBA,NR4A3,CCL3,RP11-81H14,TCF19,NKG7,CD200R1,NREP,LYPD3,CDK1,BLK,PNOC,MT1F,GCH1,CLEC4E,PLD4,RP11-753H1,CASZ1,FGFBP2,ICOS,L3MBTL4,CCL8,MT1G,NIPSNAP3B,GINS2,ANKRD22,OLFML2B,GPR34
6,SERPINB2,CDK1,VMO1,OCSTAMP,GZMB,SLC2A6,E2F1,GZMA,TACSTD2,EOGT,PLA2G16,TK1,VPREB3,SPIB,MT2A,GBP1,TRIB3,LRRC26,RNLS,COL6A1,NKG7,ZNF300,TNFAIP6,CXCL9,MT1X,SERPINF2,AC006129.4,TNFRSF13B,C1QC,ADAMTS2
7,MT2A,FCGR3A,PID1,LINC01050,IL32,TNFAIP6,CDK1,FGFBP2,SORBS1,RP11-20G13,LOR,MS4A1,AC006129.4,PTGIR,SLC39A8,FCGR1B,MTMR11,CD207,ITGB8,XCL1,HMGCS1,CTB-58E17.,STARD4-AS1,LTA,RP11-793H1,S100A5,BANK1,FCGR1B,GPR34,C1QA
8,GP1BA,RRM2,CCL7,CRIM1,GNLY,GP1BA,GINS2,XCL2,CCL1,FGFBP2,HLA-DQA1,CD79A,PKIG,HLA-DOA,LTBP2,IFIT2,SLC2A6,FABP4,GADD45A,RP3-473L9.,IL2RB,CENPU,CD28,APOL4,ARHGAP11A,PPP2R3A,TEX9,GBP4,VSIG4,OLFML2B
9,CSF1,GP1BA,FCN1,CSF1,INHBA,CLEC4D,FAM111B,MT1G,CRIM1,SPARC,TREML1,TOP2A,BCAS4,HLA-DQA1,PID1,CCL8,NDRG2,TRIM54,CRIPAK,TNNT1,COL6A2,LAG3,CD79B,CDC6,MT1F,GINS2,TNFRSF17,HAPLN3,VSTM2L,THBS1
