,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
MT1G,-0.01776669056603262,-0.005006536732099088,-0.02665382027668933,0.016466413475639055,0.02053113103318767,0.0022358003892883156,-0.02694195910796192,-0.03908506884284556,-0.001821548088897387,0.01672205083189814,0.010831943026277258,0.003701098372104118,-0.0011735441088722917,0.010775177066540353,-0.36154431193420117,0.007375891361810572,-0.027364506042944013,0.001221100752633322,0.010490576654212524,-0.010037225807559112,-0.016699667144402887,0.007804834755970454,0.02162236831415776,0.0017164330169273947,-0.012628758545774811,0.006359491087957619,0.0060081465994392584,-0.00976350150408428,-0.005951195405457426,0.014302535486564256
MT1H,-0.02156361266593331,-0.007336963665768109,-0.026081855743421874,0.006578514894348952,0.02410028715940564,-0.00494840333904324,-0.02376644007250937,-0.03599654575394701,-0.004161429992518952,0.015374968425244592,0.011789875172082864,0.0009772581139408081,-0.005669398518333323,0.010297343415835556,-0.35121968928818703,0.0047455474399350165,-0.024075109139613568,0.0027575590590587723,0.0065345963017477676,-0.00519143936963485,-0.015763774412536662,0.00936877316900014,0.007132927566782106,0.0010718447147831372,-0.011153242532884595,0.0035886212585605286,0.004563130389990094,-0.00892146036188189,-0.006464779346087332,0.011604469284416549
MT1M,-0.023834213023755962,-0.00849648413145064,-0.018740659828993526,0.008529537527090838,0.020079431536653224,-0.008281032600036972,-0.023900633329793163,-0.02992509260774935,-0.0023441503917847155,0.018604343915977147,0.007510802881703662,0.00464403854430151,-0.004949023709125142,0.00742998724072639,-0.2846096749014798,0.0034531809535332343,-0.025451917150357377,0.002632385751373298,0.005362134160134171,-0.007018682834359001,-0.014293496947998098,0.006881872589028881,0.006953366927706322,0.0007399520663606003,-0.009571388552061653,0.005204938703220268,-0.0018313129493085602,-0.009841337018257571,-0.003965480935615933,0.008953524559476438
FXYD2,0.022836789060032784,-0.009034223841825407,0.006249330088825294,0.013733647732302685,0.010599699913736988,0.001546316550929168,-0.0032645647835027568,-0.006878274211425776,-0.015904856282496733,-0.013826059097485787,-0.023471122762271056,-0.005481053588725265,-0.014332081871253372,-0.2480430772476775,0.01593992161363846,-0.007656017661631988,0.00219102432545274,-0.056716668035161885,-0.0073775224267594135,0.0012635851650559698,-0.005206857799598054,0.004126014745747744,0.002182326126155492,0.002376950171274307,-0.00033885330986636994,-0.005702237881044504,0.005101099733026487,-0.009967941790846218,-0.0008394683384427327,0.00042637020157067435
SERPINF1,0.011114151023140166,-0.007471446812910153,0.0030953931208215044,0.010994176972978201,0.004686566504296336,-0.0024777560318230258,-0.006709968938567621,-0.00857749410125415,-0.015823400637580004,-0.0005649101930475609,-0.04312821695752145,-0.0014672027347022798,-0.0105475899994174,-0.22130482938433121,0.01436523223483049,-0.0054610113875651995,-0.001514228635606199,-0.014310399654759729,-0.003948677124390477,-0.004631162539895539,-0.006352489794298646,-0.0030830898511938305,-0.004197928438708758,0.0018454588038832938,-0.002653623050259303,-0.007076903889346894,0.015133873314595066,-0.0021861615799647544,-0.0016032866642103408,-0.014686350224768729
RARRES2,0.01080317910179598,-0.006181893996233117,0.0014454825604493236,0.007993852556306967,0.0078276099698899,0.004841289086897534,-0.008224242755600769,-0.006298334331304843,-0.011513058471234043,-0.00781487393452224,-0.040215223919332306,-0.00628922845000739,-0.012979316767422127,-0.20654313685530273,0.013430479333464055,-0.007332726295728973,-0.0004311994632421251,-0.008993696136565798,-0.005327041789632363,-0.00032264159789531434,-0.0050611411452203955,0.005387676874802485,0.0031534961357395923,0.00549136186149386,-0.0012593985330011217,-0.0011899968777204823,0.007658188191862754,-0.005371894039512275,-0.0005980806875186842,-0.001536206683645377
CALCRL,0.01271159244833952,-0.0033579079226593064,-0.0038071218723857163,0.006610947267687956,0.005892103053915409,0.005770901424595491,-0.016159860340956293,-0.0080078201921267,-0.007638712483687274,0.022756286711872267,-0.06639869800366052,-0.002877389208726136,-0.011574858679058294,-0.20777869250233222,0.013436203693156273,-0.002510194222079917,0.0038539726447436493,0.007476310490196138,0.007097999040641198,0.003562503509775097,-0.0033809590729313448,-0.0038665135810323774,-0.0016173387730926178,0.004002840548846961,-0.0010006625820712391,7.244245438423307e-05,0.00039519689822562626,0.0005978007706389765,0.002361448164349816,-0.004007664385967649
TSPAN13,0.004306412070539661,0.013397883278213566,-0.0018894213111408753,0.0054438500609853245,0.003039078078036542,0.004705157336608908,0.001515207661532845,-0.005255746193763767,-0.01063103396746387,-0.0004922591567777865,-0.041007941442393704,0.009257761988934196,-0.00367521572902754,-0.1683010239294476,0.001990216754016296,-0.0013846336179968012,-0.0018056830948860148,-0.005424411737619686,-0.008692329252771995,0.003002488089637726,-0.001700159691600812,0.0006190463429299688,0.005021716888705044,0.02282498861958537,0.0015166166952950448,0.003994458608398635,0.05198833092346432,-0.007069853844138264,-0.0013072036540134964,0.003933226574986085
PNOC,0.011031596897437466,-0.028622891138021953,0.0025837483213442185,0.01576823436102856,0.03865249328131068,0.006283620187427553,-0.03275391249708917,-0.011913643017034925,-0.0022379334926758893,0.0005244677808589081,-0.018447230155626358,-0.05024559566516757,-0.0816751595359911,-0.13921995313246777,0.0032806326085321916,-0.001052490558648478,-0.0029641963084264273,-0.03023019393439073,-0.0063480701048175495,0.0037878138082762976,-0.00016135646564610875,3.185175282553723e-05,0.00010629517600354773,0.018120157839001377,0.0027043277793483093,-0.00461509706617486,-0.010568244968909209,-0.011694744044138089,0.002723695559855969,0.0006052504435210686
SPIB,0.004317423359490152,-0.015334844357813028,0.001245306669020149,0.013742054025393345,0.045703658424773516,0.0061795369273627875,-0.024597474252293652,-0.01804900794938499,-0.0009052419271524339,0.012369250296652815,-0.046301097877787516,-0.04869914640433583,-0.1045600398392862,-0.1312637623992723,0.004268375746879267,0.007222572643236758,-0.005593142384764691,0.00638658020640537,0.0016121244234929871,-0.002384766869981117,-0.004690360406363171,-0.0017498632113975914,-0.004435549306176032,0.008141047998340435,0.006239560893498323,0.0015266505986374682,0.023468445113192637,-0.009345117922008409,0.000901809388525601,0.006286063518869745
MS4A1,0.0018854506441359133,-0.020333684438516287,0.0003671962896044377,0.006145328123627552,0.09546725777740488,0.0013202585625954847,-0.041979001084891165,-0.013101006549043972,0.007508663125596822,0.0343226493971205,-0.01995641123485798,-0.08254473502751755,-0.21878409663970316,-0.0032659589900947143,-0.007725645507248939,0.011592946350358718,-0.016535366381000817,-0.0005429429110524562,-0.0026549627965713274,-0.004714524049735653,-0.0025622743266951113,0.010042266656795855,-0.018185665207547264,-0.004486853997086746,0.016319872825360338,0.004996019391924797,-0.027631738083548896,-0.023957213027861614,0.00404001995341562,0.011648786863965279
CD79A,0.006411198298309153,-0.009841168256180366,0.0003461576349573727,0.000667742153592,0.09239554137905136,-0.0003679907059777015,-0.03547283327975043,-0.014176622454880328,0.002472322821160909,0.03473609148268182,-0.016717416193016192,-0.07691470671176164,-0.21311313053167874,-0.0013274111368704149,-0.004177483229580367,0.010642127406534837,-0.011899253905456021,-0.0026127641064485354,-0.0013798539180227185,-0.00521929178390791,0.002618327665688937,0.012938670874260134,-0.018195847455609922,-0.006344324167157148,0.016739098505544888,0.004254777348307656,-0.023181453047452998,-0.023526644263974775,0.0028644662642850044,0.01076519338177557
VPREB3,0.00955683903433821,0.010710730174761046,-0.003056950484215446,-0.007579526725391347,0.06149648413904697,0.003661726591864724,-0.012962610344006312,-0.010358705940756743,-0.00296443090916428,0.019651513975370138,-0.0055462795225460935,-0.03657294868609223,-0.13079519682628113,0.005207178990332979,-0.0034461615469466287,0.0007224426239382963,-0.0069565766647343985,-0.006218371408072915,-0.011197492473326978,-0.00593461861645117,0.0400348023728549,0.010510254162443828,-0.012069803431414011,-0.009142566336688909,0.008732595244803711,0.00660549164831864,-0.011319510506889017,-0.01617445561611001,-0.00045806276611295294,0.006897987912906665
