,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
30,LINC00176,RNASE1,FXYD2,EMID1,LYPD3,NXPH4,CCR7,CD79B,CDCA8,INHBA,CYTL1,APOL4,GBP4,CALCRL,PRF1,IL7R,ID3,CCL22,HDC,TNFSF15,BIRC5,AK8,BIRC3,EGFL7,LXN,ETV7,NXPH4,GATA2,TNFRSF9,GZMM
31,MT1E,NXPH4,ETV7,PASK,ITGB8,KLRD1,BCAS4,GPC4,IDO1,OCSTAMP,SLC27A2,EPSTI1,HAPLN3,ID3,CD3D,CCL3,RAMP1,RAMP1,EMID1,RP11-693J1,TCF19,TCF4,NXPH4,TK1,BCL11B,CST7,LXN,FAM117A,CRABP2,TRIM54
32,CENPF,IL32,IFIT1,HDC,MT1X,EPSTI1,GZMK,APOL4,MS4A1,GREM1,IL32,IL32,CXCL10,GADD45A,CD2,SELL,CDC20,TNFSF4,MYB,GZMA,CD70,CDC20,PTGIR,TIE1,EOMES,CD70,CCL5,IL32,KLF1,IL32
33,SLCO5A1,MT1E,LRRC26,CD2,GADD45A,CD2,KLRB1,CXCL9,EPSTI1,GAL,FSCN1,GZMB,RRM2,IL7R,GCSAM,NCCRP1,NREP,AC017002.1,RRM2,TNFSF10,IGJ,MAL,SAMD3,TPX2,GNLY,CD96,CTSW,GBP5,CCL22,BCL11B
34,MCM7,NES,APOL4,NFE2,MT2A,OCIAD2,PYHIN1,ID3,BANK1,GPC4,CIITA,ANKRD22,UBE2C,LXN,CXCL1,LINC00176,HIST1H1B,PTGIR,GATA2,KLRD1,FCGR1A,PRF1,CCL5,CDCA3,GBP1,FAM111B,CXCR3,SH2D2A,OCSTAMP,NES
35,UBE2C,GZMK,RARRES2,PIK3IP1,AK8,CD247,FAM117A,KLRD1,TNFRSF13B,MT1H,IFIT1,FCGR1A,TNFSF10,POGLUT1,GBP1,GZMM,RRM2,ITIH3,SLC27A2,HIST1H4C,AL928768.3,TMEM204,GADD45A,CRHBP,TIE1,IDO1,GZMM,DUSP4,TNFSF15,GZMK
36,ITM2A,HLA-DQA1,RNASE1,BCL11B,CXCL9,IL7R,HIST1H4C,THBS1,UBD,MT1G,TESC,SH2D2A,E2F1,EBI3,ID3,KLRD1,GTSE1,LXN,PKIG,E2F1,CD19,LINC00861,LAG3,CDT1,SLCO5A1,MCM7,GZMH,CAMK4,PRKCQ-AS1,SPOCK2
37,ICOS,SAMD3,ZBED2,LTB,CD79A,EOMES,SP140,GZMH,TNFSF10,FLT3,CCL2,PRKCQ-AS1,GINS2,INHBA,SH2D2A,ITM2A,DUSP4,SLC1A2,TESC,TOP2A,CYTL1,KLF1,STMN1,GTSE1,S100A16,CDT1,CPNE6,CD2,GINS2,HLA-DQA1
38,MAL,KLRB1,IL2RA,LTA,SLC39A8,SPOCK2,ID3,PRF1,CD79A,MT1M,KLF1,CCNA2,DSCC1,HLA-DQA1,CD247,CCL5,CCL4,TNFRSF9,CDT1,SAMD3,ADAMTS2,NKG7,KLRB1,ASPM,POGLUT1,GTSE1,PRF1,FLT3,CST7,FCGR1A
39,GCSAM,TNFRSF9,UBD,CDK1,CXCL10,OLFML2B,CD79B,TIE1,VPREB3,ID3,TVP23A,LAG3,PRKCQ-AS1,MS4A6A,PYHIN1,C12orf75,CCL17,AK8,NFE2,TCF19,VPREB3,TAGLN3,ZBED2,PBX1,IRF4,MKI67,KLRC1,GZMH,TRIM54,CTSW
