,Cell Type
502,None
503,None
504,T Cells 
505,None
506,None
507,None
508,Monocytes
509,NK
510,NK
511,None
512,Monocytes
513,NK
514,Monocytes
515,CD8 T Cells
516,None
517,Monocytes
518,Monocytes
519,Monocytes
520,Monocytes
521,None
522,CD8 T Cells
523,T Cells
524,None
525,Monocytes
526,None
527,Monocytes
528,Monocytes
529,Monocytes
530,Monocytes
531,NK
532,None
533,NK
534,NK
535,T helpers
536,NK
537,NK
538,Monocytes
539,None
540,None
541,Monocytes
542,Monocytes
543,None
544,None
545,None
546,Dendritic Cells
547,None
548,NK
549,None
550,None
551,None
552,Monocytes
553,NK
554,NK
555,Dendritic Cells
556,None
557,Monocytes
558,NK
559,Monocytes
560,NK
561,NK
562,Monocytes
563,CD8 T Cells
564,None
565,None
566,None
567,Monocytes
568,CD8 T Cells
569,Monocytes
570,None
571,None
572,B Cells
573,Monocytes
574,B Cells
575,None
576,None
577,T Cells 
578,T Cells
579,Monocytes
580,NK
581,CD8 T Cells
582,Monocytes
583,T Cells
584,NK
585,NK
586,Monocytes
587,Monocytes
588,None
589,NK
590,T Cells 
591,None
592,None
593,None
594,Monocytes
595,None
596,Monocytes
597,Monocytes
598,Monocytes
599,NK
600,NK
601,Monocytes
602,Monocytes
603,NK
604,None
605,NK
606,None
607,None
608,Monocytes
609,NK
610,Monocytes
611,NK
612,NK
613,T Cells
614,None
615,Monocytes
616,NK
617,T Cells
618,None
619,NK
620,Monocytes
621,T Cells
622,Monocytes
623,NK
624,Monocytes
625,T Cells
626,NK
627,Monocytes
628,None
629,Monocytes
630,None
631,None
632,Monocytes
633,None
634,Monocytes
635,NK
636,None
637,None
638,NK
639,NK
640,NK
641,Monocytes
642,None
643,Monocytes
644,NK
645,CD8 T Cells
646,Dendritic Cells
647,None
648,NK
649,NK
650,None
651,Monocytes
652,T Cells 
653,Monocytes
654,T helpers
655,NK
656,Monocytes
657,Monocytes
658,None
659,None
660,NK
661,None
662,Monocytes
663,T Cells
664,T Cells 
665,Monocytes
666,CD8 T Cells
667,NK
668,None
669,NK
670,Monocytes
671,None
672,None
673,None
674,T Cells
675,None
676,T Cells 
677,None
678,Monocytes
679,Monocytes
680,None
681,T helpers
682,None
683,None
684,None
685,None
686,None
687,Monocytes
688,Monocytes
689,None
690,T Cells
691,Monocytes
692,Monocytes
693,T Cells
694,Monocytes
695,NK
696,CD8 T Cells
697,Monocytes
698,Monocytes
699,NK
700,Monocytes
701,None
702,NK
703,Monocytes
704,Monocytes
705,Monocytes
706,None
707,T helpers
708,Monocytes
709,None
710,None
711,T Cells 
712,T Cells
713,NK
714,None
715,None
716,None
717,Monocytes
718,Monocytes
719,NK
720,NK
721,T Cells
722,Monocytes
723,CD8 T Cells
724,T Cells
725,None
726,Monocytes
727,Monocytes
728,NK
729,None
730,None
731,None
732,Monocytes
733,NK
734,NK
735,Monocytes
736,NK
737,T Cells
738,NK
739,Monocytes
740,None
741,Monocytes
742,Dendritic Cells
743,None
744,NK
745,None
746,Monocytes
747,NK
748,None
749,NK
750,None
751,Monocytes
752,None
753,Monocytes
754,None
755,Monocytes
756,NK
757,None
758,None
759,Monocytes
760,None
761,None
762,None
763,Monocytes
764,Monocytes
765,Monocytes
766,Monocytes
767,None
768,Monocytes
769,Monocytes
770,None
771,CD8 T Cells
772,None
773,None
774,Monocytes
775,NK
776,Monocytes
777,None
778,None
779,NK
780,Monocytes
781,NK
782,Monocytes
783,None
784,Monocytes
785,NK
786,NK
787,None
788,T Cells 
789,None
790,NK
791,NK
792,Monocytes
793,Monocytes
794,NK
795,Monocytes
796,T Cells 
797,T Cells
798,T Cells 
799,T Cells 
800,T Cells 
801,NK
802,None
803,NK
804,None
805,Monocytes
806,None
807,Monocytes
808,None
809,None
810,Monocytes
811,None
812,T Cells 
813,NK
814,T Cells
815,CD8 T Cells
816,None
817,NK
818,Monocytes
819,NK
820,T Cells
821,None
822,Monocytes
823,None
824,None
825,Monocytes
826,None
827,None
828,T Cells 
829,None
830,None
831,T Cells 
832,None
833,Monocytes
834,NK
835,None
836,None
837,Monocytes
838,None
839,Monocytes
840,None
841,None
842,None
843,None
844,NK
845,None
846,Monocytes
847,None
848,None
849,None
850,NK
851,Monocytes
852,Dendritic Cells
853,None
854,Monocytes
855,NK
856,None
857,Monocytes
858,NK
859,Monocytes
860,Monocytes
861,Monocytes
862,NK
863,Monocytes
864,NK
865,Monocytes
866,None
867,Monocytes
868,None
869,None
870,None
871,None
872,None
873,NK
874,None
875,Monocytes
876,None
877,Monocytes
878,None
879,Monocytes
880,Monocytes
881,None
882,NK
883,None
884,None
885,None
886,None
887,Monocytes
888,Monocytes
889,Monocytes
890,B Cells
891,CD8 T Cells
892,NK
893,Monocytes
894,Monocytes
895,None
896,CD8 T Cells
897,None
898,NK
899,NK
900,NK
901,None
902,None
903,Monocytes
904,None
905,Monocytes
906,None
907,Monocytes
908,T Cells 
909,None
910,Monocytes
911,None
912,Monocytes
913,NK
914,T Cells 
915,NK
916,Monocytes
917,NK
918,None
919,Monocytes
