"","PC1"
"Ifit1bl1",0.101019382375332
"Acod1",0.0974542914438555
"Ccl5",0.0974129559672774
"Rsad2",0.0952367986374217
"Ifit2",0.0949085764092259
"Cxcl10",0.0936506684176322
"Cmpk2",0.0935353972499085
"Ifi205",0.0934965719384905
"Iigp1",0.0930737601666537
"Ifit1",0.0906051750516552
"Mx1",0.0903792831575087
"Gbp5",0.0902640111703503
"Gbp2",0.0895489147978912
"Ms4a4c",0.0887795455431433
"Ifit3",0.0878564703205998
"Fgl2",0.0871009721851394
"Cd69",0.0831432508248132
"Ifit3b",0.0827890272340935
"Gbp4",0.0825347382067731
"Cxcl9",0.0822625947844731
"Isg15",0.0821165218399033
"Ifi208",0.0816869254802976
"Ifi206",0.0812432048968955
"Tgtp2",0.0811136936721052
"Oasl1",0.0808914752848072
"Serpina3g",0.080696362842879
"Gbp3",0.0797578296299716
"Slfn4",0.0796527884645012
"Ifi213",0.0787989131626939
"Usp18",0.0784512821320139
"Ifi44",0.0766070466674098
"Irf7",0.0761265941762904
"Slfn1",0.0757670888018864
"Zbp1",0.0735619159557983
"Tnfsf10",0.0732857394357452
"Ifi209",0.0712932050815859
"Slco3a1",0.069904953960489
"Isg20",0.0693459129498396
"Lipg",0.0686466332323021
"Phf11a",0.0683900324116229
"Olfr56",0.0678557692825308
"C3",0.0676089252409274
"Gbp7",0.0671518856991563
"Gbp6",0.0669824362976357
"Trim30c",0.0669034964004028
"Phf11b",0.0665982815662074
"Tgtp1",0.0664925691220384
"Serpina3f",0.0654297156736755
"Gm4951",0.0653575081821168
"Nos2",0.0646825864375019
"Ifi47",0.0632535021039695
"Igtp",0.0628346540322221
"Cd274",0.0623070984768741
"Phf11d",0.0611667012076399
"Ifi211",0.0599288280032026
"Socs1",0.0595349891586293
"Cd40",0.0584522205930577
"Calhm6",0.0581000623757282
"Ifi214",0.0559042061307022
"Ddx60",0.0557530882713466
"AA467197",0.055508862677528
"Irgm2",0.0544688027333309
"Ccl8",0.054349468582008
"Trim30b",0.0535891070920152
"Oas3",0.0531466406332009
"Ifih1",0.0530467712670822
"Clic5",0.0529434146633312
"Herc6",0.0529055111772795
"Klrk1",0.0526829355579437
"Ccl12",0.0525563912281197
"Apol9b",0.052530013198818
"Vcan",0.0520685328455898
"Irgm1",0.0518847933413738
"Slfn8",0.0516463069744817
"Ifi204",0.0515950014174189
"Gbp9",0.0514931583833289
"Ly6a",0.0504329065118371
"Slc28a2",0.050372954637778
"H2-Q6",0.0501198431953735
"Ddx58",0.0495750192674183
"Kdr",0.0493683509233813
"Il18bp",0.0490313856551464
"Xaf1",0.0488683281969519
"Ifi203",0.0486521322960132
"Helz2",0.0483731596529055
"Il27",0.0483409001925954
"Slfn5",0.047917768052552
"Enpp4",0.0477351604206484
"Pou3f1",0.0476613002258437
"Oasl2",0.0475452570133004
"Ccrl2",0.0469620449147976
"Batf2",0.0467390519495376
"Ly6e",0.0466883831723676
"H2-T24",0.0466882028582516
"Il12rb1",0.0465260110508249
"Pnp",0.0464397886125158
"Stat2",0.0464224354097559
"Gm12185",0.0461763076938149
"Hdc",0.0461707529037063
"Cd86",0.0461673544050065
"Tap1",0.0460217856569139
"Trim30d",0.0459871761573694
"Oas1g",0.0458155116580084
"Rtp4",0.0457116514606933
"Daxx",0.0456738781260172
"Mndal",0.0455603906230649
"Il15ra",0.0455510448226133
"Gvin1",0.045456654655125
"Fcgr1",0.0453950010555165
"Gm4070",0.0451514629828976
"F830016B08Rik",0.0450384232038074
"Tlr3",0.0448420382571714
"Rnf213",0.0444593118567649
"Nt5c3",0.0444551383789519
"Trim30a",0.0441360749618495
"BC147527",0.0437232480329445
"Upp1",0.043549280019879
