"","PC2"
"Saa3",0.176065834023408
"Il1b",0.155613942627669
"Marco",0.135382153519242
"Socs3",0.130802698384284
"Slc13a3",0.114154220256903
"Shisa3",0.110825719652271
"Il1a",0.103565426264404
"Il12b",0.10158335343295
"Lcn2",0.0940269890056951
"Nfkbiz",0.0930894674194489
"Clec4e",0.0901552219425469
"Cxcl2",0.0900868479762944
"Ptgs2",0.0898270762003718
"Fpr1",0.0874601619287639
"Acod1",0.0862381445157944
"Cxcl1",0.0822964578593771
"Cd38",0.082179880106503
"Fpr2",0.0814882847042967
"Mmp14",0.0814447741209035
"Fscn1",0.0814315090120465
"Cxcl3",0.0808245283299597
"Pde4b",0.0790225725845369
"Cp",0.0778530572961664
"Ptges",0.0756519583700023
"Mmp9",0.0743085468181616
"Ccl5",0.0743049391650384
"Siglece",0.0736504745353194
"Gpr84",0.0735319993598471
"Itgal",0.073083277408306
"Cd300e",0.0722050879323546
"Adamts4",0.0718871935680398
"Fcgr2b",0.070844564360331
"Zfp811",0.0702141442977723
"Lad1",0.0698844858097462
"Sod2",0.0696188453414581
"Tnf",0.0694069453807386
"Tarm1",0.0688957636058107
"Batf",0.0688214585341126
"Ccl22",0.0685047127505584
"Olr1",0.0682204294226325
"Hp",0.0666543949987205
"Bcl2a1a",0.066614318574117
"Slc7a11",0.0660213198973109
"Nfkbia",0.0655966797232379
"Hcar2",0.0655607417429825
"Cebpd",0.0655540921317192
"Adora2a",0.0649473958221119
"Lox",0.0645262945021212
"Edn1",0.0642713651013019
"Ifitm7",0.0633553877501229
"Dusp2",0.063190885895328
"Irak3",0.0607776420791182
"Spaca6",0.0607383330327636
"Ier3",0.059756690293159
"H2-M2",0.0593235190397103
"Bmp1",0.0587628011484222
"Serpinb2",0.0584657036451626
"Klf7",0.0581265172416905
"Zc3h12a",0.0580570835138036
"Ehd1",0.0580394309488309
"Sema4c",0.0570483256613695
"Cdc42ep2",0.0559746763527292
"Sla",0.055641732373942
"St7",0.0550988821140466
"Pim2",0.0547538682369497
"Tmem176a",0.0544378151290257
"Wfdc17",0.0541246324075585
"Ccl3",0.0522511738445835
"Bcl2a1d",0.0520497049006156
"Gpr18",0.050899866443849
"Pilra",0.0508575793517381
"Ednrb",0.0504418865989528
"Il6",0.0504306954618885
"Rasgrp1",0.0504054654370623
"Kctd12",0.0499639067733758
"Nudt17",0.0496499320936326
"Gramd1a",0.0491880458120909
"Tlr2",0.0484769372802878
"Dhcr24",0.0482764346736581
"Cd55",0.0482070385043816
"Heg1",0.0480462752066957
"Gpr85",0.04794695741888
"Slc39a14",0.0479247438324923
"Cpd",0.0478057483551475
"Samsn1",0.0476237087048989
"Arhgap26",0.0476049942356299
"Il10",0.04742378123738
"Ppfia3",0.0471251621572496
"Rassf4",0.0465815118471336
"Csf3",0.046234420717648
"Serp1",0.046142268637733
"Dtx2",0.0458571265643436
"Marcksl1",0.0455495399494831
"Ebi3",0.0455036625571466
"Tnip3",0.045252363934744
"Ccl4",0.0451491862849398
"Tma16",0.0449920766637942
"Maff",0.044935696915734
"Gja1",0.0447260503153888
"Myrf",0.0445458807772909
"Cd40",0.044307077862624
"Tagap",0.044128464332443
"Stard7",0.0440931348614713
"P2ry2",0.0440698513777342
"Ndrg1",0.0434853078679589
"Syt7",0.0434691610928916
"Tnfaip2",0.0433520690817569
"Tmem176b",0.0431480398099716
"Gsr",0.0429980226559584
"Zc3h12c",0.0429099136158801
"Gpr31b",0.0427933772347643
"Tnip1",0.0425555557520931
"Nhs",0.0425170978123588
"Pik3cg",0.0424818791829848
"St3gal3",0.0423825176655442
"Atp2b4",0.042320147101755
"Rffl",0.0422652094867939
"Stard4",0.0422207685791383
"Aebp1",0.0421042953439049
"Acp5",0.0419178084309022
"Tnfsf9",0.0418328243263991
"Malt1",0.0417533059212893
"Rnd1",0.04144499124168
"Itga9",0.0413076953811958
"Bcl3",0.0411071150094201
"Itgb8",0.0409246427256319
"Raver2",0.0408512581720952
"Tmem2",0.0408096377502758
"Psd",0.0404866015510444
"Sh3bp5",0.0404615698769382
"Orai2",0.0401585976052775
"Prkcb",0.0400382725678188
"Sema4a",0.0400019367105661
"Rcsd1",0.0396785068829834
"Prag1",0.0396489721605954
"Clec4a1",0.0396291723600334
"Pilrb1",0.0396030373689569
"Clec4a2",0.0393410104461668
"Tnfrsf1b",0.0391803803587546
"Tfec",0.0391472712476509
"Pou2f2",0.0391356212269677
"Spic",0.0390504859350757
"Spata13",0.0389677339748795
"Cd244a",0.0389524891719199
"Idi1",0.038874212700757
"Oaf",0.0387439581635172
"Rtl5",0.0386070650147105
"Gpd2",0.038463426602159
"Cyp51",0.0383913860236637
"Nox1",0.0383485847654977
"Icam1",0.0382885860874607
"Fcrl5",0.0382383876367514
"Cd14",0.0381311800776111
"Tmc3",0.0378315137376393
"Rac2",0.0378181099514466
"Flrt3",0.0374911451733241
"Vasp",0.0374117897245377
"Acat2",0.0370784008676266
"Il2ra",0.0370642679274006
