"","PC2"
"Hsd17b7",0.0370320841374243
"Traf1",0.0370030731716041
"Aoah",0.0368696967872154
"B3gnt7",0.036837379102225
"Plpp1",0.0367414656816595
"Trib1",0.0364467503897474
"Scd2",0.0364424326062309
"Rapgef5",0.0363534057216705
"Met",0.0363531337574442
"Flvcr2",0.0362116646195328
"Nfkb2",0.035749725170499
"Rin3",0.0356036163769164
"Phlda1",0.0354029664953919
"Gm5150",0.0353334868939947
"Procr",0.0351337572234891
"Dusp16",0.0350996807684139
"Rtn2",0.0350839942836667
"Rab11fip1",0.0350318453309799
"F10",0.034993444612624
"Slco4a1",0.0349495003944363
"Jdp2",0.0348403846421963
"Ptprm",0.0348267038915425
"Birc3",0.034792787980402
"Sqle",0.0346614222693868
"Pstpip2",0.0345997750493124
"Il4ra",0.0345879961453936
"Prkar2b",0.0342815098689706
"Dgkh",0.0342137831744195
"Tsku",0.0340843730965801
"Nlrp3",0.0340709517397915
"Rims3",0.0333024888600261
"Slc7a2",0.0332689696695075
"Lcp2",0.0330721763762944
"Src",0.0330147425642218
"Ust",0.0328465233178533
"Gas7",0.0326515717203845
"Ldlr",0.0323777582391067
"Gpc1",0.0323328220735461
"Sh3bp4",0.0321135522674081
"Fdft1",0.031822644380584
"Clcf1",0.0318000814172411
"C3",0.0316785257179884
"Bcl2a1b",0.0316609019552095
"Adora2b",0.0316270246670458
"Pik3r5",0.0316039902279216
"Fnbp1l",0.031571316953519
"Tnfaip3",0.0314888723628397
"Cav1",0.0313398904442645
"Clec4n",0.0311039101778787
"Gapdh",0.0309030391389495
"Tshz1",0.0306943367393466
"1-Mar",0.0305721180412603
"Map3k8",0.0303042270189373
"Prdx5",0.0302874085639062
"Stk40",0.030239637855933
"Cish",0.0296358039496894
"Slc31a2",0.029418861625633
"Rapgef2",0.0291470577685691
"Kdm6b",0.0289008923605473
"Lrrc25",0.0288306816062881
"Cd69",0.0286703753590566
"Hck",0.0285709702833602
"Chst7",0.0285644062923932
"Icosl",0.0281775894752127
"Cebpb",0.0280184210323602
"Prdm1",0.0278810388084985
"Gbp5",0.0278537237556778
"Slc2a6",0.027733859988127
"Arl5c",0.0276367460399584
"Snn",0.0274230286197777
"Ak4",0.0270519117741176
"Inpp4b",0.0270453296511596
"Pim1",0.0265432035702043
"Insig1",0.0263236282016816
"Dram1",0.0262485094939059
"Ralgds",0.0262393132617098
"Flnb",0.0260521179814587
"Fgr",0.0258438999002
"Fzd1",0.0257792474277846
"Egln3",0.0257656538002581
"Fasn",0.0256633072810706
"Serpine1",0.0253903421689757
"Fas",0.0253292326332672
"Gm6377",0.025219630937729
"Igfbp4",0.0249459904908496
"Plk3",0.0249144929593182
"Fam49a",0.0248490563690609
"Il1rn",0.0245538266718525
"Clec4a3",0.0243899527025367
"Stx11",0.0243443024142374
"Rab20",0.0241595737115253
"Cflar",0.0240871805816909
"Lpcat2",0.0239625828053118
"Cybb",0.0238543641113487
"Gsap",0.0236086229053468
"Il27",0.0233851573235422
"Slco3a1",0.0233810388864076
"Klra2",0.0233501738385294
"Eva1b",0.0231535980408103
"Chst11",0.0229384067311938
"Errfi1",0.0229170365464801
"Ccl7",0.0227961841851166
"Sdc4",0.0226402456039368
"Cx3cr1",0.0225952644401296
"Jag1",0.0223232393618812
"Pgap2",0.0220256119194777
"Mmp13",0.0220077195971519
"Tnfrsf14",0.0219273007336338
"Myc",0.021927283786024
"Mefv",0.0219165471048284
"Slc15a3",0.021665044365312
"Cxcl16",0.0216579663393441
"Plaur",0.0215030418162234
"Gadd45b",0.0212862681114191
"Dst",0.0210979838404763
"Mt1",0.020951585009767
"Csf3r",0.0206598835212217
"Vcam1",0.0205279759157841
"Fn1",0.0204468836361687
"Nfkbie",0.0203852719232528
"Sele",0.0202536213282831
"Nod2",0.0201563237534018
"Fgl2",0.0200635174379512
"Tgfbi",0.0199611360866193
"Pla2g4a",0.0194349345142088
"Plat",0.0192536034936851
"Ms4a6d",0.0187261058465525
"Id3",0.0184643228967337
"S100a8",0.018314251885676
"Itgax",0.0182922505273446
"Ccl2",0.0178352455242827
"Scd1",0.0177296972153481
"Skil",0.017517437215599
"Jak2",0.017468970868035
"Sumo2",0.0170303430771469
"Fads2",0.0168375961143803
"Pfkfb3",0.0167986589228784
"Bst1",0.0166727663758174
"Adgre4",0.0164943533886904
"S100a9",0.0164313681400193
"Nxpe5",0.0163628591625031
"Arrb1",0.0161548445978527
"Psme2",0.0159091314700526
"Mmp12",0.0158625413612869
"Noct",0.0158328794972005
"Elovl6",0.0157886175072499
"Lyn",0.015588356345687
"Chil3",0.0155726602772338
"Cd83",0.0154656170603509
"Car13",0.0149771855578035
"Nr1h3",0.0149205052162391
"Sema6d",0.0146909695153756
"Zmynd15",0.0143585578434451
"Acsl1",0.014342976054561
"Rel",0.0140800328606742
"Tnfsf4",0.0139135927638317
"Gbp2",0.0139052124970361
"Rgl1",0.0137237318102845
"Ifi205",0.0136867027101775
"Nupr1",0.0136032568438529
"Ms4a4a",0.0133499933352009
"Nos2",0.0131983748458634
"Nr4a3",0.0131975664518162
"Ccl12",0.0131833048033409
"Dcstamp",0.0131655949778662
"Vcan",0.0130446790609032
"Gch1",0.0129097558708535
"N4bp1",0.0128543681562715
"Car2",0.0126500031232429
"Fam241a",0.0126036902298118
"Ngp",0.0125597150075282
"Xkr8",0.0121181882695499
"Upp1",0.0120904232609594
"Ms4a6c",0.0118289038583381
"Arhgap27",0.0117421051048192
"Hspa1b",0.0114471756885632
"Dusp1",0.0114232663586125
"Slfn2",0.011372232345764
"Socs1",0.011363013843311
"Cd274",0.0112889190482891
"Gcnt2",0.0110377930341592
"Zeb1",0.0109784523742246
"Ass1",0.0108563829357734
"Uck2",0.0108193119898947
"Cad",0.0107925166586498
"Cdk5r1",0.0106971308576802
"Sesn1",0.0102053793223509
"Plxdc2",0.00994746519795593
"Sowahc",0.00989003639140902
"Ctsc",0.00980807069180177
"Casp4",0.00966785818917279
"Rasgef1b",0.00947359100085069
"Slc28a2",0.00889013045963656
"Slamf9",0.00887756858223122
"F13a1",0.00866506396390422
"Egr2",0.00838397437092035
"6430548M08Rik",0.00829565283582043
"Gbp7",0.00826738841975635
"Csrnp1",0.00826603273818072
"Alb",0.00824017384400144
"Lst1",0.00810685154102243
"Marveld1",0.00805865579678127
"Stac2",0.00784555014868655
"Lacc1",0.00782835546867346
"Ltf",0.00779903204066266
"Sort1",0.00753743991662216
"Il18",0.00751704327992397
"2010300C02Rik",0.00736030544147694
"Mfsd7a",0.0072136330077297
"Atg9b",0.00717667182785397
"Dcbld2",0.00712667547988374
"Mtmr14",0.00710467653500535
"Gbp3",0.00667854620521517
"Abca9",0.00640408958321239
"Il13ra1",0.00616403263443379
"Slamf7",0.00607817000454278
"Fcgr4",0.00602383862773129
"Ifi211",0.00578487910358002
"Ripk2",0.00562329702063258
"Cfh",0.00546046842001892
"Arid5a",0.00542775636317041
"Gem",0.00507859451849663
"Zbp1",0.00491483586869636
"Ifitm3",0.00439344470660292
"Etv3",0.00438955665053662
"Hdc",0.00412037323627571
"Mycl",0.00381896204171618
"Cass4",0.00365556760055159
"Ints6l",0.00357504696823601
"Tacc2",0.00354032793058798
"Smad6",0.00351706287219746
"Nfil3",0.00346358326093551
"Psme2b",0.00295298563340441
"Gdf15",0.00291394595131753
"Cfb",0.00281918582565515
"Tiparp",0.00280322108761814
"Rtp4",0.00274188493698698
"Adrb2",0.0024334435952861
"Igsf9",0.00223925166732985
"Ccrl2",0.00208612471811167
"Pnp2",0.00174049624818829
"Tmeff1",0.00168636581344978
"Rnf19b",0.00147438152788021
"H2-Q7",0.00144869057342346
"Srp54b",0.00128756835495601
"Aif1",0.0010374881130167
"Abi3",0.000871273812174561
"Lipg",0.000861422033507604
"Kpna3",0.000856238206324328
"Mxd4",0.00085482556704588
"Ckap2l",0.000789700250213013
"Cd200",0.000487973179828114
"Nampt",0.00037965154461153
"Prr5l",0.000326306362071883
"Pank1",0.000254341937761134
"Rhou",0.000230952629652772
"Ccl8",0.000227549107078038
"Dhx58",0.000209009784940615
"Thbs1",0.000206513700093032
"Irf1",0.000150241174090745
"Nr4a1",0.00010691925097567
"Pnp",-0.000386318041277528
"Ptgfrn",-0.000649763338837447
"Phldb1",-0.000686648292721337
"Parp14",-0.000831608325828214
"Id1",-0.000834669051073816
"Isg15",-0.00101806012223477
"Slfn5",-0.00111239781731958
"Casp1",-0.00123498290257154
"Selenow",-0.00129888921977538
"Mki67",-0.00136884021712394
"Cd47",-0.00150687473957694
"Rgs16",-0.00151362458089748
"Ifi203",-0.00179647813060943
"Lpar1",-0.00204480566515587
"Kcnj2",-0.00206577559480839
"Parp9",-0.00213073205357359
"Fabp3",-0.00217235749647542
"Ifi204",-0.00259659000326662
"Rhoj",-0.00271915877965788
"Chac1",-0.00276501151288687
"Deptor",-0.0028080462297582
"Olfr56",-0.00282732499886126
"Trim30d",-0.00294139120307685
"Cd163",-0.00297212365872691
"Ube2c",-0.00311938563784946
"Mamdc2",-0.00318556304899128
"Sh3pxd2a",-0.00325567777997684
"Sirpb1a",-0.00326171454207163
"Lrrc32",-0.00333659517148751
"Naa25",-0.00337902387356554
"Ppp1r15a",-0.00343820040324216
"Aatk",-0.00346702933912769
"Trim30a",-0.00347926085904507
"Usp25",-0.00352423254663305
"Tnfsf15",-0.00369424974828864
"Tgm2",-0.00369502905263873
"Psmb8",-0.00377491058257878
"Lgals9",-0.0039998681758493
"Heatr9",-0.00403936507883028
"Ifi35",-0.00404333346497206
"Mrc1",-0.0040656315320934
"Helz2",-0.00418780284322795
"Rnf114",-0.00433656568857671
"Pald1",-0.00441877367421826
"Ifrd1",-0.00445345970024308
"Hbegf",-0.0046222981566123
"Arhgef3",-0.00463026085591392
"Trim21",-0.004732847404411
"Bst2",-0.0047359654815097
"Mmp25",-0.00481995808363923
"Nod1",-0.00487981209994886
"Zfp800",-0.00496374306397117
"Slc7a8",-0.00499457047534771
"2900026A02Rik",-0.00512939402189724
"Zyx",-0.00517668978344285
"Man2a2",-0.0052019116072988
"Lars2",-0.00521993114294648
"Kcnh7",-0.00526068604379631
"Parp12",-0.00526761739730944
"Psmb10",-0.00538141527130073
"Parp8",-0.00540969884920103
"Slfn8",-0.00541167203128838
"Abtb2",-0.00564907369446066
"Stard9",-0.00571808237009733
"Cdc20",-0.0059632628519807
"Egr1",-0.00608841698553268
"Tent4a",-0.00616761671988548
"Iqgap3",-0.00623762693650262
"Xaf1",-0.00633180782263843
"Ogfr",-0.0063404966424036
"Dusp4",-0.00635462710590757
"Plekhg3",-0.0063741657170065
"Add3",-0.00637576735906033
"Stil",-0.0064296888052508
"Gca",-0.00653936631320231
"Trim12c",-0.00660353086391398
"Hmmr",-0.00660901430727254
"Eif2ak2",-0.0066857520044048
"Dusp6",-0.00670758583254004
"Ifit1",-0.00674617492790514
"Mlkl",-0.0067676785521345
"Usp18",-0.00676797302348897
"Nbeal2",-0.00690037194519588
"Tapbp",-0.00695440438732345
"Slc40a1",-0.0069729532165525
"Mx1",-0.00697840957152306
"Oas1a",-0.00700331748485895
"Birc5",-0.00706715325324259
"Slamf8",-0.00723295356400446
"Cdk1",-0.00733169379278843
"H2-T24",-0.0074674430154721
"Arap3",-0.00755202281023581
"Usb1",-0.00758937144818062
"Spsb1",-0.0077361504609048
"Ms4a14",-0.00779934989940863
"Creb5",-0.0078312043248722
"Ccdc25",-0.00785403684921425
"Znfx1",-0.0080421326823379
"Ifih1",-0.00812629005917201
"Gypc",-0.00817304477778587
"Ddx58",-0.00832498164853937
"Tap2",-0.00841086260845082
"Zdhhc14",-0.00845583251185631
"Top2a",-0.00847128228677279
"Stat1",-0.00852503095472295
"Pimreg",-0.00861807785016166
"Dtx3l",-0.00871992936164543
"Prr11",-0.00873086944714579
"Mitd1",-0.0087308966646828
"Glipr2",-0.00880130635420278
"H2-Ab1",-0.00895615595980814
"Ifit1bl2",-0.00899490551456453
"Depdc1a",-0.00900285892503931
"Cst7",-0.00904805528208085
"Ankrd37",-0.00907334937985222
"Cdca2",-0.00911804774234928
"Fbxw17",-0.00914909691773858
"Oas1g",-0.00920576049358929
"Parp10",-0.00923956749790467
"Fam78b",-0.00924125508405431
"Klhl3",-0.00933428428514137
"Herc6",-0.00935158200717793
"Kif20a",-0.00936874009900007
"Ccnb1",-0.00942500876635964
"Il1rl1",-0.0094585911076114
"Scimp",-0.00964120215637958
"Prkx",-0.00975151852960794
"Lpin1",-0.00980308507717881
"Ifi47",-0.00981653336175508
"Batf2",-0.00982232724910594
"Nuf2",-0.0098481756979638
"Rnf213",-0.00995020881519647
"Lgals3bp",-0.00999439995116301
"Tspo",-0.0100171313850081
"Pttg1",-0.0100552789840939
"Trafd1",-0.0100938371449114
"Ifi209",-0.010159601677703
"Samd9l",-0.0101924101477121
"Oasl2",-0.0103079232084566
"Uba7",-0.0103513465392592
"Rnf31",-0.0103822648255099
"Col1a2",-0.0104859356562417
"Bub1",-0.0105473133226536
"Wars",-0.0106869856527152
"Peli1",-0.0107449974532129
"Tapbpl",-0.010810758947114
"Mef2c",-0.0108163004435889
"Ms4a6b",-0.0108461674219672
"Ppm1k",-0.0108544314227993
"Tap1",-0.0108887297321955
"Tor1aip2",-0.0109463480760289
"Kif2c",-0.0109710151024674
"Kcnh4",-0.0109753229972463
"Nek2",-0.0110029760801693
"Flt1",-0.0110389053056034
"Zup1",-0.0111282276344077
"Kctd12b",-0.0111466662412022
"Slc9a9",-0.0111562757607515
"Fosb",-0.0111615511056629
"Zfp395",-0.0112822945991781
"Socs2",-0.0113036318882537
"Col1a1",-0.0113545159990957
"Frmd6",-0.0113708983387239
"Dusp5",-0.0113832293496558
"Fcgr1",-0.0113859171578584
"Ckap2",-0.0114767097128081
"Serpina3f",-0.0115038748750715
"Sell",-0.0115119228299476
"Etnk1",-0.0115222034435076
"Tor3a",-0.0115700900378201
"Espl1",-0.0116522503035119
"Tdrd7",-0.0118140853229825
"Sp100",-0.0118438873713069
"Nfxl1",-0.0118787878989219
"Adar",-0.0119166811309426
"Trim12a",-0.011933772337476
"Hrh2",-0.0119611629719638
"Nat8l",-0.011965333850786
"Kcnab1",-0.0120309553712027
"Gvin1",-0.0120324276718885
"Kntc1",-0.0121008008966275
"Ccnb2",-0.012113692760231
"Gbp6",-0.0121250535211319
"Gm4070",-0.0121836413830223
"I830077J02Rik",-0.012222178874147
"Atp10a",-0.0122756483955698
"Lpar5",-0.0122970240742019
"Rnf150",-0.0123101715126244
"Ube2l6",-0.0123206609599334
"Kif14",-0.0123586183803362
"Ephx1",-0.0125162149922102
"Aspm",-0.0125355647791356
"Knstrn",-0.012546383056484
"Fbrsl1",-0.0126584606410928
"Sapcd2",-0.0126962830411956
"Lrrc4",-0.012699818727967
"Nlrc5",-0.012765357144141
"Tpst1",-0.0127862750760991
"Mndal",-0.012840030468589
"Igtp",-0.0128440137660091
"Pde1c",-0.0128541156573032
"Cdca3",-0.0129138357034354
"H2-T22",-0.0129155409401847
"Kif18b",-0.0129285711554052
"Apobec3",-0.0129411350681868
"Nmi",-0.0129514658299723
"Depdc1b",-0.0129837693801374
"Trp53i11",-0.0130161072433576
"Kif20b",-0.0130429363191775
"Psmb9",-0.013054940372206
"Perm1",-0.0130833502105877
"Smpd3",-0.0132415891137356
"Ankle1",-0.0132922022832307
"Mthfr",-0.0134003328179122
"Aurkb",-0.0134150298736716
"Prc1",-0.013433012586025
"Cd74",-0.0134738798261156
"Fam3b",-0.0135169703499348
"Stat2",-0.0135242059011768
"Samhd1",-0.0136129362430937
"Mier3",-0.0136282993080211
"Pbk",-0.0137452102765426
"Nusap1",-0.0137778270052045
"Irgm1",-0.0138031456683445
"Aftph",-0.0138129798336453
"Matk",-0.013873119418818
"Pmepa1",-0.0139695973601137
"Fat3",-0.0139854112299781
"Tmcc3",-0.0140447104317661
"Spag5",-0.0141666962014508
"Cnn3",-0.0141894174968037
"Trim34a",-0.0141938594026405
"Oas2",-0.0142762415576263
"Crybg1",-0.0143541985270139
"Anln",-0.0143689519200298
"Jag2",-0.0144212199908562
"Plk1",-0.0144252163375402
"Cxcl10",-0.0144327421129096
"S1pr1",-0.0145640394492408
"Tmem229b",-0.0145644539227958
"Epsti1",-0.0146899123577305
"Bub1b",-0.0147186020552207
"Arl4a",-0.0147235838191206
"Slc25a22",-0.0147795276751791
"Gbp2b",-0.0148184754204157
"AA467197",-0.0148280370701301
"5-Mar",-0.0148941193168883
"Pde7b",-0.0149175162357077
"Ccna2",-0.0149492522043956
"Slfn3",-0.0149517401838374
"Nes",-0.0149987347726614
"Ier5l",-0.0150002923326279
"Dnmt3c",-0.0151724951165119
"BC030867",-0.015192718194825
"Pcgf5",-0.0153409169230056
"Fbxo5",-0.0153625078544194
"Irf7",-0.0154130007698663
"Aldh1b1",-0.0154195994804241
"Phf11b",-0.0155219770837729
"Rnf135",-0.0155266957156405
"Stmn1",-0.015541137912534
"Phf11d",-0.0155764128195684
"Sertad3",-0.0156540465218652
"Gas6",-0.0156644536401105
"Ung",-0.0156715089831096
"Cenpf",-0.0156727544846656
"Rrm2",-0.0156873909942857
"Hs3st1",-0.0157670725611732
"Tcp11l2",-0.0158149371513895
"AW011738",-0.0158645200236986
"Egr3",-0.0158786986582485
"Ccnf",-0.0159440417028084
"Csf1",-0.0159608720098715
"Irgm2",-0.0160109214249711
"Ddx60",-0.0160227448245868
"Racgap1",-0.0160333025968194
"H2-T23",-0.0160763612841272
"Trim14",-0.0161150050592032
"Sco1",-0.0161251851832914
"Pclaf",-0.0161325976159356
"Slfn1",-0.0162488416805176
"Aim2",-0.0163646454598284
"Il15",-0.0163783225463615
"Gtpbp2",-0.016429652402355
"Mill2",-0.016497827035832
"Mgll",-0.0165645097201274
"Ncapd2",-0.0165665279450497
"Oas1c",-0.0165881749100731
"Kif4",-0.0166202509985021
"Soat2",-0.0166594905890885
"St6gal1",-0.0166688774116003
"Ank",-0.0166809848950827
"Uhrf1",-0.0166947021999463
"Nfatc2",-0.0168226607278956
"Trim30c",-0.0168334437274757
"Gm6904",-0.0168620343461051
"Prpf38a",-0.0168631090675884
"Daxx",-0.0168769969916572
"H2-Aa",-0.0169591555009168
"Tmem67",-0.0170094006938787
"Ifi44",-0.0170554572224828
"Carhsp1",-0.0172328247800067
"Serpina3g",-0.0172583839121076
"Ncapg",-0.0173153014450766
"Vrk2",-0.017387086759084
"Arel1",-0.0174113721717119
"Xcr1",-0.0175061851979307
"Adap2",-0.0175224071623024
"Dtl",-0.0175752989930474
"Clcn1",-0.0176272197652612
"Pla2g16",-0.017756621209387
"H2-Q4",-0.0177641197771964
"Dusp28",-0.0178517275227889
"Glrp1",-0.0179037976486438
"Esco2",-0.0179496979648241
"H2-Eb1",-0.0179835635211488
"Parp11",-0.0179916441942166
"Mov10",-0.0180491944794227
"Padi2",-0.0180564036051885
"Cenpa",-0.0182386893885681
"Fndc3a",-0.018300865648709
"Ifi207",-0.0183263886251783
"Mxd1",-0.0183678939891682
"Knl1",-0.0185140712808357
"Tcf19",-0.0186122072100173
"Rbm43",-0.0186441925733345
"Slc46a3",-0.0187814262297838
"Cd24a",-0.0188554481878296
"Foxm1",-0.0190009321938784
"Nt5c3",-0.0190087331535207
"Efr3b",-0.0191499209487997
"Bmf",-0.0191686189440564
"Cit",-0.0191879058499407
"Ifi206",-0.0192058896265073
"Myh15",-0.0192368825020271
"Nectin4",-0.0192790187848778
"Gbp10",-0.0193000160082288
"Cdc6",-0.0193133325800547
"Rgcc",-0.0193186389928717
"Frmd4a",-0.0193672693210029
"Tmem273",-0.0193686324602905
"Rnf34",-0.0193927325720245
"Gpr183",-0.019502322329865
"Pdxk",-0.019573932912664
"Zfyve28",-0.0195970837635914
"Clspn",-0.0196299397339376
"Cited2",-0.0197222857200258
"Mybl2",-0.0197620741359693
"Reps2",-0.0198736979903438
"Oas3",-0.0198911630853222
"Neil3",-0.020001556984106
"Kif11",-0.0200302521957683
"Tmem171",-0.020098029711123
"Il15ra",-0.0201378405157667
"Cenpe",-0.0201683990170095
"Mafk",-0.0201968876406468
"Dck",-0.0203987905344872
"Npas4",-0.0204663374512595
"Fgfr1",-0.0206081754367093
"Ifit2",-0.0207978473341764
"Serpinb1a",-0.0208355501574834
"Setdb2",-0.0210074224979673
"Abcd2",-0.0210389393960735
"Calhm6",-0.0210620605403765
"Ssc5d",-0.0210674366442443
"Sncaip",-0.0211756006495708
"Xdh",-0.0212158065184482
"Bcl9",-0.0212287176509408
"Dbp",-0.0214628598042826
"Rsad2",-0.0214866712650294
"Samd4",-0.0215535091332608
"Ch25h",-0.0215793204304255
"Plekhf2",-0.0215933691975268
"Chst15",-0.0215959850581423
"Cnp",-0.0216450166142464
"E2f2",-0.0216756652321122
"Plcxd2",-0.0217087491520839
"Dennd6b",-0.0217496442156007
"Fam214a",-0.0218089604513717
"Carmil1",-0.021901809145061
"H2-Q6",-0.0219314190458126
"Pla2r1",-0.021944911498764
"E2f7",-0.0219541698491977
"Sgcb",-0.0219601089740696
"Dmtn",-0.0220089998451827
"Mical1",-0.0220130797224276
"Tent5c",-0.022029806554067
"Pml",-0.0220390483515983
"Gpr33",-0.0220605346023174
"Phf11c",-0.0221053083806625
"Phlpp1",-0.0221071288087262
"Rilpl1",-0.0221258504010213
"Cmah",-0.0221732349867281
"Trim30b",-0.0222617764833671
"Angptl2",-0.0223542452811855
"Dll1",-0.0223804016291736
"C4b",-0.0224317920312065
"Ramp1",-0.0224775969530257
"Asap3",-0.0225302527237412
"Ly6e",-0.0225505480276276
"Dusp10",-0.0225551675255702
"Sp110",-0.022579970408973
"Gbp9",-0.0226230645872612
"Csrp1",-0.0226730785431354
"Mllt3",-0.022712470855224
"Plau",-0.0227609418822524
"Shisa9",-0.0229503311434031
"Ciita",-0.0230028797133669
"Neb",-0.023030319725866
"Parp3",-0.023244867362356
"Engase",-0.0233478215615117
"Nav2",-0.0233674917921727
"Susd3",-0.0234346617011672
"Xylt1",-0.0234690620065092
"Themis2",-0.0236370770803235
"Hsh2d",-0.0236704597227025
"Cysltr2",-0.0237429151052809
"A530064D06Rik",-0.0241499869603443
"Fbn1",-0.024162916778883
"Ccnd2",-0.0242215821399962
"Siglec1",-0.0243054181593648
"Gm5431",-0.0243877231446645
"Lpar6",-0.0245134945846073
"Casp3",-0.0245746281558213
"Cnr2",-0.0245831805777617
"Ifnb1",-0.0246244970425905
"Arhgap18",-0.024665080897916
"Mid1",-0.0246889903882038
"Angpt1",-0.0246896830668854
"Slc4a11",-0.0248629897420282
"Ccdc173",-0.0249574598916981
"Oasl1",-0.0249996033360191
"Gm14569",-0.0251913794634121
"Tent5a",-0.0254349696924236
"Dio2",-0.0255929084488939
"Tgtp2",-0.0256060924817613
"Axl",-0.0256183001860664
"Clec9a",-0.0256212350194321
